#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
 65   -38.231052970047 -4.879e-05  1.513e-01  9.252e-02  2.753e-04* 9.417e-05*
 66   -38.231445670434 -3.927e-04  2.423e-01  1.057e-01  1.187e-03* 3.905e-04*
 67   -38.231855992116 -4.103e-04  2.167e-01  9.661e-02  1.266e-03* 4.047e-04*
 68   -38.233341437774 -1.485e-03  7.234e-01  3.466e-01  6.881e-03  2.312e-03 
 69   -38.234591355454 -1.250e-03  1.119e-01  3.633e-02  5.294e-04* 2.304e-04*
 70   -38.234595957541 -4.602e-06  1.115e-01  3.470e-02  9.294e-06* 4.051e-06*
 71   -38.234626579761 -3.062e-05  1.051e-01  4.655e-02  7.992e-05* 3.585e-05*
 72   -38.234784403831 -1.578e-04  9.549e-02  4.907e-02  4.401e-04* 1.802e-04*
 73   -38.235010027450 -2.256e-04  2.759e-01  1.233e-01  1.013e-03* 3.576e-04*
 74   -38.235249190192 -2.392e-04  9.908e-02  4.343e-02  2.575e-04* 9.554e-05*
 75   -38.235335932024 -8.674e-05  1.820e-01  7.008e-02  2.769e-04* 1.002e-04*
 76   -38.235423959789 -8.803e-05  9.531e-02  3.192e-02  1.650e-04* 6.698e-05*
 77   -38.235440176935 -1.622e-05  1.498e-01  5.783e-02  1.252e-04* 4.580e-05*
 78   -38.235594720579 -1.545e-04  1.593e-01  7.618e-02  4.626e-04* 1.655e-04*
 79   -38.235801581666 -2.069e-04  1.618e-01  7.453e-02  5.202e-04* 2.021e-04*
 80   -38.236355736184 -5.542e-04  4.071e-01  1.685e-01  2.653e-03  9.541e-04*
 81   -38.236812262245 -4.565e-04  1.682e-01  8.656e-02  5.595e-04* 1.994e-04*
 82   -38.236854364237 -4.210e-05  2.614e-01  1.207e-01  2.323e-04* 7.947e-05*
 83   -38.237142263272 -2.879e-04  7.529e-02  3.279e-02  3.487e-04* 1.356e-04*
 84   -38.237174427674 -3.216e-05  1.399e-01  5.085e-02  1.643e-04* 6.017e-05*
 85   -38.237252165799 -7.774e-05  1.646e-01  6.075e-02  3.687e-04* 1.216e-04*
 86   -38.237380799815 -1.286e-04  1.489e-01  6.669e-02  3.651e-04* 1.344e-04*
 87   -38.237712514331 -3.317e-04  2.376e-01  8.953e-02  1.073e-03* 4.120e-04*
 88   -38.237930981111 -2.185e-04  1.627e-01  7.100e-02  6.547e-04* 2.240e-04*
 89   -38.238434191351 -5.032e-04  3.928e-01  1.798e-01  2.290e-03  7.639e-04*
 90   -38.238867699648 -4.335e-04  6.895e-02  2.862e-02  3.759e-04* 1.597e-04*
 91   -38.238868769560 -1.070e-06  6.961e-02  2.954e-02  4.791e-06* 2.000e-06*
 92   -38.238964853899 -9.608e-05  2.437e-01  7.908e-02  4.292e-04* 1.594e-04*
 93   -38.239054709868 -8.986e-05  5.600e-02  2.856e-02  1.283e-04* 5.566e-05*
 94   -38.239056215995 -1.506e-06  6.739e-02  3.297e-02  1.153e-05* 5.173e-06*
 95   -38.239155126803 -9.891e-05  1.494e-01  6.100e-02  4.100e-04* 1.401e-04*
 96   -38.239224046567 -6.892e-05  6.931e-02  2.967e-02  1.402e-04* 5.535e-05*
 97   -38.239238406662 -1.436e-05  1.497e-01  5.730e-02  1.103e-04* 4.032e-05*
 98   -38.239368361303 -1.300e-04  1.384e-01  5.999e-02  4.106e-04* 1.505e-04*
 99   -38.239868337691 -5.000e-04  2.412e-01  1.255e-01  2.420e-03  8.331e-04*
100   -38.240173927547 -3.056e-04  1.803e-01  7.818e-02  5.406e-04* 1.818e-04*
101   -38.240282253841 -1.083e-04  2.751e-01  1.174e-01  4.514e-04* 1.465e-04*
102   -38.240485509249 -2.033e-04  6.277e-02  2.290e-02  2.562e-04* 9.809e-05*
103   -38.240498589623 -1.308e-05  1.140e-01  4.164e-02  8.958e-05* 3.244e-05*
104   -38.240627314151 -1.287e-04  2.004e-01  9.991e-02  9.049e-04* 2.909e-04*
105   -38.240775782485 -1.485e-04  8.521e-02  4.245e-02  1.728e-04* 7.334e-05*
106   -38.240804034135 -2.825e-05  1.967e-01  6.615e-02  1.119e-04* 4.871e-05*
107   -38.240901965737 -9.793e-05  5.710e-02  2.406e-02  1.528e-04* 7.797e-05*
108   -38.240911916249 -9.951e-06  7.085e-02  3.984e-02  7.543e-05* 3.317e-05*
109   -38.241011933266 -1.000e-04  1.234e-01  6.535e-02  5.043e-04* 1.763e-04*
110   -38.241129376063 -1.174e-04  1.079e-01  5.058e-02  3.085e-04* 1.032e-04*
111   -38.241280167585 -1.508e-04  2.678e-01  9.107e-02  7.897e-04* 2.547e-04*
112   -38.241393391941 -1.132e-04  8.413e-02  4.193e-02  1.929e-04* 7.763e-05*
113   -38.241400502078 -7.110e-06  1.402e-01  5.954e-02  6.753e-05* 2.590e-05*
114   -38.241545632610 -1.451e-04  6.357e-02  3.489e-02  3.393e-04* 1.354e-04*
115   -38.241605480862 -5.985e-05  1.350e-01  6.680e-02  4.281e-04* 1.598e-04*
116   -38.241699901247 -9.442e-05  1.041e-01  5.102e-02  2.592e-04* 9.127e-05*
117   -38.241907010223 -2.071e-04  1.785e-01  7.280e-02  7.613e-04* 2.491e-04*
118   -38.241989790318 -8.278e-05  7.388e-02  3.362e-02  1.910e-04* 6.852e-05*
119   -38.241995212061 -5.422e-06  1.392e-01  5.050e-02  6.924e-05* 2.375e-05*
120   -38.242194566741 -1.994e-04  1.466e-01  6.132e-02  7.055e-04* 2.492e-04*
121   -38.242321936264 -1.274e-04  1.017e-01  4.576e-02  4.298e-04* 1.493e-04*
122   -38.242521010479 -1.991e-04  3.328e-01  1.652e-01  1.572e-03* 5.148e-04*
123   -38.242851852904 -3.308e-04  5.110e-02  2.639e-02  3.200e-04* 1.216e-04*
124   -38.242858472638 -6.620e-06  5.786e-02  3.299e-02  3.509e-05* 1.287e-05*
125   -38.242890426162 -3.195e-05  1.577e-01  6.560e-02  2.149e-04* 7.080e-05*
126   -38.242963402563 -7.298e-05  5.851e-02  2.533e-02  1.572e-04* 5.969e-05*
127   -38.242966351322 -2.949e-06  8.023e-02  3.424e-02  3.146e-05* 1.117e-05*
128   -38.243241614605 -2.753e-04  2.983e-01  1.201e-01  1.595e-03* 5.169e-04*
129   -38.243412687441 -1.711e-04  7.215e-02  2.826e-02  1.228e-04* 6.395e-05*
130   -38.243425235304 -1.255e-05  1.106e-01  3.909e-02  4.721e-05* 2.423e-05*
131   -38.243488001911 -6.277e-05  1.132e-01  4.360e-02  2.434e-04* 1.085e-04*
132   -38.243530741143 -4.274e-05  7.590e-02  4.119e-02  1.617e-04* 6.081e-05*
133   -38.243765611144 -2.349e-04  2.362e-01  9.074e-02  1.289e-03* 4.125e-04*
134   -38.243873579858 -1.080e-04  8.746e-02  3.802e-02  1.275e-04* 5.397e-05*
135   -38.243939922467 -6.634e-05  5.437e-02  2.289e-02  1.437e-04* 6.848e-05*
136   -38.243958886210 -1.896e-05  5.449e-02  2.932e-02  9.546e-05* 4.637e-05*
137   -38.244174278255 -2.154e-04  2.921e-01  1.196e-01  1.367e-03* 4.372e-04*
138   -38.244335253243 -1.610e-04  4.843e-02  2.146e-02  1.042e-04* 5.573e-05*
139   -38.244335990615 -7.374e-07* 4.801e-02  2.071e-02  1.736e-06* 9.510e-07*
140   -38.244347089498 -1.110e-05  5.043e-02  2.521e-02  4.733e-05* 2.068e-05*
141   -38.244456282193 -1.092e-04  1.840e-01  7.342e-02  7.228e-04* 2.259e-04*
142   -38.244531145125 -7.486e-05  7.145e-02  2.973e-02  9.132e-05* 4.685e-05*
143   -38.244538180413 -7.035e-06  9.122e-02  4.237e-02  3.811e-05* 1.902e-05*
144   -38.244594634905 -5.645e-05  6.746e-02  2.534e-02  1.418e-04* 6.426e-05*
145   -38.244626158114 -3.152e-05  9.615e-02  4.579e-02  2.283e-04* 8.545e-05*
146   -38.244689675516 -6.352e-05  1.237e-01  4.343e-02  2.178e-04* 7.815e-05*
147   -38.244841721548 -1.520e-04  9.492e-02  5.467e-02  6.693e-04* 2.155e-04*
148   -38.244931080767 -8.936e-05  1.278e-01  5.203e-02  4.163e-04* 1.326e-04*
149   -38.245266176490 -3.351e-04  3.834e-01  1.886e-01  2.599e-03  8.464e-04*
150   -38.245665818047 -3.996e-04  6.075e-02  2.259e-02  1.991e-04* 1.082e-04*
151   -38.245666897641 -1.080e-06  6.064e-02  2.202e-02  2.755e-06* 1.477e-06*
152   -38.245679947741 -1.305e-05  5.012e-02  2.442e-02  4.865e-05* 2.283e-05*
153   -38.245775402172 -9.545e-05  1.827e-01  6.902e-02  6.042e-04* 2.101e-04*
154   -38.245839045368 -6.364e-05  5.338e-02  2.785e-02  8.380e-05* 3.962e-05*
155   -38.245861784611 -2.274e-05  9.524e-02  3.890e-02  9.277e-05* 3.527e-05*
156   -38.245894550392 -3.277e-05  4.913e-02  2.021e-02  1.017e-04* 3.737e-05*
157   -38.245905235918 -1.069e-05  6.523e-02  3.766e-02  1.057e-04* 3.452e-05*
158   -38.245944160169 -3.892e-05  7.174e-02  3.011e-02  1.471e-04* 5.248e-05*
159   -38.246091724068 -1.476e-04  1.864e-01  1.007e-01  9.358e-04* 3.192e-04*
160   -38.246212819157 -1.211e-04  4.399e-02  1.992e-02  1.307e-04* 5.705e-05*
161   -38.246217992219 -5.173e-06  7.169e-02  2.894e-02  4.131e-05* 1.526e-05*
162   -38.246270213333 -5.222e-05  1.535e-01  5.539e-02  3.386e-04* 1.081e-04*
163   -38.246322605895 -5.239e-05  5.648e-02  2.123e-02  1.035e-04* 4.568e-05*
164   -38.246327158770 -4.553e-06  6.890e-02  3.507e-02  4.678e-05* 1.859e-05*
165   -38.246557398593 -2.302e-04  1.430e-01  8.597e-02  1.395e-03* 4.780e-04*
166   -38.246675790214 -1.184e-04  1.114e-01  4.827e-02  1.988e-04* 7.700e-05*
167   -38.246700639417 -2.485e-05  1.068e-01  6.790e-02  1.302e-04* 4.598e-05*
168   -38.246778079051 -7.744e-05  5.076e-02  2.191e-02  1.467e-04* 5.831e-05*
169   -38.246781037427 -2.958e-06  7.090e-02  2.973e-02  3.304e-05* 1.209e-05*
170   -38.246811330198 -3.029e-05  9.401e-02  4.160e-02  2.425e-04* 7.724e-05*
171   -38.246860860528 -4.953e-05  9.017e-02  4.386e-02  1.932e-04* 7.370e-05*
172   -38.247004603981 -1.437e-04  1.483e-01  7.003e-02  7.038e-04* 2.549e-04*
173   -38.247084591874 -7.999e-05  8.368e-02  3.103e-02  2.093e-04* 7.151e-05*
174   -38.247104855302 -2.026e-05  1.260e-01  5.788e-02  1.675e-04* 5.389e-05*
175   -38.247208423762 -1.036e-04  7.224e-02  3.114e-02  3.310e-04* 1.139e-04*
176   -38.247228558012 -2.013e-05  1.270e-01  6.364e-02  2.582e-04* 8.485e-05*
177   -38.247318345907 -8.979e-05  9.537e-02  4.004e-02  3.619e-04* 1.163e-04*
178   -38.247375770732 -5.742e-05  1.914e-01  8.678e-02  4.792e-04* 1.551e-04*
179   -38.247511241268 -1.355e-04  7.332e-02  3.359e-02  2.638e-04* 1.051e-04*
180   -38.247517772269 -6.531e-06  1.141e-01  4.984e-02  6.558e-05* 2.545e-05*
181   -38.247640221261 -1.224e-04  7.645e-02  5.667e-02  6.155e-04* 2.235e-04*
182   -38.247713918921 -7.370e-05  1.080e-01  4.207e-02  2.743e-04* 8.960e-05*
183   -38.247799319943 -8.540e-05  2.083e-01  8.175e-02  5.595e-04* 1.763e-04*
184   -38.247910624930 -1.113e-04  4.877e-02  2.613e-02  2.173e-04* 8.732e-05*
185   -38.247910770477 -1.455e-07* 4.874e-02  2.661e-02  1.802e-06* 6.902e-07*
186   -38.247924685721 -1.392e-05  4.895e-02  1.952e-02  4.952e-05* 2.016e-05*
187   -38.247960549707 -3.586e-05  1.346e-01  5.917e-02  3.062e-04* 1.067e-04*
188   -38.248008282299 -4.773e-05  3.537e-02  2.071e-02  7.600e-05* 3.706e-05*
189   -38.248009792880 -1.511e-06  4.032e-02  2.484e-02  1.237e-05* 5.731e-06*
190   -38.248050038318 -4.025e-05  8.066e-02  3.899e-02  2.425e-04* 7.875e-05*
191   -38.248082891061 -3.285e-05  6.095e-02  2.827e-02  1.254e-04* 4.650e-05*
192   -38.248112331046 -2.944e-05  1.850e-01  7.353e-02  2.994e-04* 1.024e-04*
193   -38.248182488039 -7.016e-05  4.940e-02  1.602e-02  1.055e-04* 4.446e-05*
194   -38.248194265087 -1.178e-05  7.610e-02  3.605e-02  8.951e-05* 3.372e-05*
195   -38.248226373103 -3.211e-05  5.176e-02  2.307e-02  1.082e-04* 4.279e-05*
196   -38.248249477443 -2.310e-05  1.497e-01  6.052e-02  2.298e-04* 7.907e-05*
197   -38.248305435533 -5.596e-05  4.240e-02  1.868e-02  1.236e-04* 4.651e-05*
198   -38.248309584409 -4.149e-06  5.857e-02  3.142e-02  4.518e-05* 1.596e-05*
199   -38.248432002857 -1.224e-04  2.595e-01  9.907e-02  1.043e-03* 3.352e-04*
200   -38.248546484174 -1.145e-04  6.498e-02  2.686e-02  1.117e-04* 5.386e-05*
