#                       1.000e-10  2.000e-06  1.000e-06  2.000e-05  1.000e-05
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1     0.004790403701 -6.205e-01  4.976e+00  2.873e+00  1.004e-02  5.795e-03 
  2     0.000336850557 -4.454e-03  1.319e+00  7.618e-01  7.075e-04  4.085e-04 
  3     0.000003768767 -3.331e-04  1.396e-01  8.057e-02  2.283e-04  1.318e-04 
  4     0.000000039680 -3.729e-06  1.432e-02  8.268e-03  2.423e-05  1.399e-05 
  5     0.000000002285 -3.739e-08  3.437e-03  1.984e-03  2.106e-06* 1.216e-06*
  6     0.000000000033 -2.252e-09  4.143e-04  2.392e-04  5.848e-07* 3.376e-07*
  7     0.000000000002 -3.105e-11* 1.057e-04  6.104e-05  5.971e-08* 3.447e-08*
  8     0.000000000000 -2.122e-12* 1.461e-05  8.433e-06  1.763e-08* 1.018e-08*
  9     0.000000000000 -4.124e-14* 4.636e-07* 2.677e-07* 2.736e-09* 1.580e-09*
