#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
 66     1.304580515627 -1.228e-04  1.231e-01  4.903e-02  2.235e-04* 1.010e-04*
 67     1.304483903115 -9.661e-05  1.785e-01  5.206e-02  2.426e-04* 1.216e-04*
 68     1.304350020263 -1.339e-04  2.011e-01  6.973e-02  2.992e-04* 1.532e-04*
 69     1.304178031028 -1.720e-04  1.763e-01  4.955e-02  2.536e-04* 1.246e-04*
 70     1.304085475383 -9.256e-05  1.580e-01  7.403e-02  2.937e-04* 1.304e-04*
 71     1.303959775450 -1.257e-04  6.212e-02  3.725e-02  1.943e-04* 7.187e-05*
 72     1.303931930462 -2.784e-05  1.641e-01  6.111e-02  1.161e-04* 4.942e-05*
 73     1.303827346518 -1.046e-04  6.730e-02  2.950e-02  2.394e-04* 7.749e-05*
 74     1.303817635880 -9.711e-06  1.734e-01  4.819e-02  8.665e-05* 3.220e-05*
 75     1.303626369542 -1.913e-04  2.021e-01  6.787e-02  4.356e-04* 2.007e-04*
 76     1.303469499125 -1.569e-04  1.257e-01  4.915e-02  2.935e-04* 1.319e-04*
 77     1.303420201529 -4.930e-05  2.495e-01  9.630e-02  2.319e-04* 1.240e-04*
 78     1.303212612668 -2.076e-04  7.339e-02  2.809e-02  2.466e-04* 1.034e-04*
 79     1.303206818998 -5.794e-06  1.162e-01  3.948e-02  3.200e-05* 1.434e-05*
 80     1.303147219743 -5.960e-05  2.179e-01  8.496e-02  2.402e-04* 1.240e-04*
 81     1.303009323543 -1.379e-04  4.816e-02  2.543e-02  1.673e-04* 6.437e-05*
 82     1.303003355635 -5.968e-06  8.705e-02  3.973e-02  4.373e-05* 1.678e-05*
 83     1.302941851153 -6.150e-05  2.234e-01  7.674e-02  2.503e-04* 1.093e-04*
 84     1.302839169155 -1.027e-04  5.331e-02  2.445e-02  1.534e-04* 4.630e-05*
 85     1.302836443727 -2.725e-06  8.566e-02  3.205e-02  2.408e-05* 8.091e-06*
 86     1.302773818961 -6.262e-05  1.307e-01  5.453e-02  2.174e-04* 9.269e-05*
 87     1.302706682752 -6.714e-05  5.559e-02  2.713e-02  1.414e-04* 3.789e-05*
 88     1.302684285365 -2.240e-05  1.369e-01  4.194e-02  1.229e-04* 3.553e-05*
 89     1.302634965078 -4.932e-05  7.572e-02  3.036e-02  1.430e-04* 4.272e-05*
 90     1.302591127558 -4.384e-05  2.035e-01  5.830e-02  1.578e-04* 7.594e-05*
 91     1.302513364159 -7.776e-05  8.429e-02  2.406e-02  1.136e-04* 4.166e-05*
 92     1.302490722423 -2.264e-05  9.456e-02  3.694e-02  8.790e-05* 3.306e-05*
 93     1.302440896544 -4.983e-05  6.742e-02  3.524e-02  1.263e-04* 5.125e-05*
 94     1.302322000927 -1.189e-04  1.828e-01  6.278e-02  2.939e-04* 1.495e-04*
 95     1.302212653910 -1.093e-04  6.068e-02  2.929e-02  2.075e-04* 6.729e-05*
 96     1.302202183799 -1.047e-05  1.285e-01  4.627e-02  7.736e-05* 2.759e-05*
 97     1.302108985024 -9.320e-05  1.379e-01  4.803e-02  2.135e-04* 9.283e-05*
 98     1.301975105370 -1.339e-04  1.405e-01  4.726e-02  2.915e-04* 1.309e-04*
 99     1.301706533086 -2.686e-04  3.909e-01  1.340e-01  8.062e-04* 4.297e-04*
100     1.301407163070 -2.994e-04  6.068e-02  2.319e-02  2.959e-04* 9.464e-05*
101     1.301406294616 -8.685e-07* 6.415e-02  2.422e-02  4.662e-06* 1.491e-06*
102     1.301360130151 -4.616e-05  9.787e-02  3.368e-02  1.401e-04* 5.497e-05*
103     1.301300012792 -6.012e-05  1.058e-01  4.203e-02  1.671e-04* 6.520e-05*
104     1.301189800302 -1.102e-04  2.046e-01  5.620e-02  3.071e-04* 1.284e-04*
105     1.300992831409 -1.970e-04  1.775e-01  5.465e-02  3.691e-04* 1.861e-04*
106     1.300429249161 -5.636e-04  4.406e-01  1.380e-01  1.288e-03* 7.450e-04*
107     1.300040281528 -3.890e-04  9.044e-02  3.735e-02  4.068e-04* 1.390e-04*
