#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
 65     0.000124956732 -1.658e-07* 2.577e-03  2.135e-03  2.391e-05* 1.416e-05*
 66     0.000124837720 -1.190e-07* 2.808e-03  2.421e-03  2.639e-05* 1.547e-05*
 67     0.000124733082 -1.046e-07* 4.501e-03  1.553e-03  2.525e-05* 1.464e-05*
 68     0.000124717330 -1.575e-08* 3.794e-03  1.922e-03  1.270e-05* 7.294e-06*
 69     0.000124681785 -3.554e-08* 1.767e-03  6.346e-04  7.805e-06* 4.720e-06*
 70     0.000124679073 -2.712e-09* 9.303e-04  5.376e-04  1.673e-06* 9.898e-07*
 71     0.000124676552 -2.521e-09* 3.045e-04  2.215e-04  7.506e-07* 4.916e-07*
 72     0.000124676264 -2.878e-10* 5.350e-04  2.349e-04  2.492e-07* 1.766e-07*
 73     0.000124675727 -5.376e-10* 2.891e-04  1.364e-04  3.776e-07* 2.123e-07*
 74     0.000124675536 -1.909e-10* 4.880e-04  1.883e-04  2.914e-07* 1.687e-07*
 75     0.000124675034 -5.019e-10* 2.520e-04  1.093e-04  4.922e-07* 2.414e-07*
 76     0.000124674874 -1.594e-10* 3.422e-04  1.893e-04  3.573e-07* 1.995e-07*
 77     0.000124674294 -5.803e-10* 2.820e-04  1.086e-04  5.474e-07* 3.117e-07*
 78     0.000124674189 -1.049e-10* 5.490e-04  1.994e-04  3.861e-07* 2.102e-07*
 79     0.000124673497 -6.927e-10* 1.475e-04* 1.259e-04  6.988e-07* 4.285e-07*
 80     0.000124673319 -1.776e-10* 2.377e-04  2.349e-04  6.025e-07* 3.416e-07*
 81     0.000124672575 -7.443e-10* 1.606e-04* 9.600e-05* 6.493e-07* 3.688e-07*
