# energy of ethane ( 0.0000 ps of eq)
         time    e_total         e_kin       e_pot  e_nonbond    e_bonded    e_boundary       e_vdw      e_elst      e_bond     e_angle   e_tors        e_oop temperature    pressure
      0.0399      7.391891      5.6855      1.7064      0.0000      1.7064      0.0000      0.0000      0.0000      0.3236      1.2896      0.0931      0.0000   238.42013    63.39577
      0.0409      7.392584      4.8218      2.5707      0.0000      2.5707      0.0000      0.0000      0.0000      1.1695      1.3143      0.0869      0.0000   202.20403    74.46027
      0.0419      7.392993      4.2945      3.0985      0.0000      3.0985      0.0000      0.0000      0.0000      1.6866      1.3311      0.0807      0.0000   180.09126    83.10406
      0.0429      7.392675      4.6887      2.7039      0.0000      2.7039      0.0000      0.0000      0.0000      1.3179      1.3121      0.0739      0.0000   196.62246    94.01912
      0.0439      7.392009      5.5515      1.8405      0.0000      1.8405      0.0000      0.0000      0.0000      0.5322      1.2423      0.0660      0.0000   232.80185   101.50787
      0.0449      7.391750      5.9305      1.4613      0.0000      1.4613      0.0000      0.0000      0.0000      0.2722      1.1316      0.0575      0.0000   248.69435    95.20809
      0.0459      7.392173      5.4551      1.9371      0.0000      1.9371      0.0000      0.0000      0.0000      0.8726      1.0153      0.0492      0.0000   228.75780    73.10066
      0.0469      7.392773      4.7321      2.6606      0.0000      2.6606      0.0000      0.0000      0.0000      1.6746      0.9438      0.0422      0.0000   198.44163    46.60240
      0.0479      7.392850      4.6233      2.7696      0.0000      2.7696      0.0000      0.0000      0.0000      1.7697      0.9630      0.0369      0.0000   193.87710    31.25057
      0.0489      7.392312      5.2415      2.1508      0.0000      2.1508      0.0000      0.0000      0.0000      1.0277      1.0901      0.0330      0.0000   219.80229    32.63276
      0.0499      7.391782      5.8193      1.5725      0.0000      1.5725      0.0000      0.0000      0.0000      0.2440      1.2987      0.0299      0.0000   244.03124    42.63764
      0.0509      7.391882      5.6007      1.7912      0.0000      1.7912      0.0000      0.0000      0.0000      0.2414      1.5232      0.0266      0.0000   234.86477    49.63489
      0.0519      7.392518      4.7334      2.6591      0.0000      2.6591      0.0000      0.0000      0.0000      0.9512      1.6855      0.0224      0.0000   198.49421    50.76032
      0.0529      7.392980      4.1309      3.2621      0.0000      3.2621      0.0000      0.0000      0.0000      1.5191      1.7257      0.0173      0.0000   173.23003    52.60182
      0.0539      7.392754      4.4556      2.9371      0.0000      2.9371      0.0000      0.0000      0.0000      1.3028      1.6225      0.0118      0.0000   186.84739    60.32906
      0.0549      7.392106      5.3833      2.0088      0.0000      2.0088      0.0000      0.0000      0.0000      0.6054      1.3962      0.0072      0.0000   225.74796    68.79766
      0.0559      7.391771      5.9859      1.4059      0.0000      1.4059      0.0000      0.0000      0.0000      0.3008      1.1006      0.0045      0.0000   251.01867    66.76060
      0.0569      7.392099      5.7814      1.6107      0.0000      1.6107      0.0000      0.0000      0.0000      0.7975      0.8089      0.0043      0.0000   242.44266    49.80170
      0.0579      7.392667      5.2379      2.1548      0.0000      2.1548      0.0000      0.0000      0.0000      1.5539      0.5943      0.0067      0.0000   219.64934    27.05081
      0.0589      7.392782      5.1675      2.2253      0.0000      2.2253      0.0000      0.0000      0.0000      1.7048      0.5092      0.0112      0.0000   216.69987    13.52618
      0.0599      7.392292      5.7353      1.6570      0.0000      1.6570      0.0000      0.0000      0.0000      1.0650      0.5747      0.0173      0.0000   240.50917    16.22460
      0.0609      7.391757      6.2389      1.1529      0.0000      1.1529      0.0000      0.0000      0.0000      0.3467      0.7816      0.0246      0.0000   261.62650    29.00616
      0.0619      7.391801      5.9105      1.4813      0.0000      1.4813      0.0000      0.0000      0.0000      0.3520      1.0965      0.0328      0.0000   247.85571    41.13746
      0.0629      7.392405      4.8155      2.5769      0.0000      2.5769      0.0000      0.0000      0.0000      1.0713      1.4640      0.0416      0.0000   201.93987    49.09578
      0.0639      7.392933      3.8265      3.5664      0.0000      3.5664      0.0000      0.0000      0.0000      1.7051      1.8110      0.0503      0.0000   160.46576    58.29326
      0.0649      7.392849      3.7094      3.6834      0.0000      3.6834      0.0000      0.0000      0.0000      1.5659      2.0591      0.0584      0.0000   155.55451    73.55847
      0.0659      7.392302      4.3503      3.0420      0.0000      3.0420      0.0000      0.0000      0.0000      0.8326      2.1439      0.0655      0.0000   182.42822    90.19864
      0.0669      7.391935      4.9664      2.4256      0.0000      2.4256      0.0000      0.0000      0.0000      0.3240      2.0300      0.0716      0.0000   208.26478    96.60613
      0.0679      7.392145      5.0275      2.3647      0.0000      2.3647      0.0000      0.0000      0.0000      0.5663      1.7212      0.0771      0.0000   210.82690    85.99746
