# energy of h2o_5 ( 0.0000 ps of eq)
         time    e_total         e_kin       e_pot  e_nonbond    e_bonded    e_boundary       e_vdw      e_elst      e_bond     e_angle   e_tors        e_oop temperature    pressure
      0.1899    -22.263842      9.7120    -31.9759    -34.1930      2.2171      0.0000     11.0747    -45.2677      2.0413      0.1758      0.0000      0.0000   217.21271   143.00299
      0.1949    -22.264534     10.6402    -32.9048    -37.9122      5.0074      0.0000     10.8436    -48.7558      3.9370      1.0704      0.0000      0.0000   237.97237    82.84307
      0.1999    -22.264796     10.3032    -32.5680    -38.0605      5.4925      0.0000     10.5660    -48.6265      2.2245      3.2679      0.0000      0.0000   230.43494   127.46497
      0.2049    -22.265244     10.6314    -32.8967    -34.9256      2.0289      0.0000     10.0418    -44.9675      1.6442      0.3847      0.0000      0.0000   237.77545   109.54033
      0.2099    -22.265091     10.9147    -33.1798    -37.9851      4.8054      0.0000      9.3132    -47.2983      3.8378      0.9675      0.0000      0.0000   244.11016   101.96250
      0.2149    -22.263803      9.8764    -32.1402    -36.0311      3.8909      0.0000      8.5225    -44.5536      1.5526      2.3383      0.0000      0.0000   220.88945   127.87153
      0.2199    -22.262738      8.9244    -31.1872    -38.1756      6.9884      0.0000      7.4885    -45.6641      6.5131      0.4753      0.0000      0.0000   199.59804    39.37505
      0.2249    -22.262389      8.4287    -30.6911    -34.9620      4.2709      0.0000      6.7568    -41.7188      2.6198      1.6510      0.0000      0.0000   188.51138   129.54777
      0.2299    -22.262125      6.5448    -28.8069    -37.5142      8.7072      0.0000      6.0798    -43.5940      6.4756      2.2316      0.0000      0.0000   146.37683    -2.64800
      0.2349    -22.262453      5.3753    -27.6377    -30.7052      3.0675      0.0000      5.6566    -36.3618      2.3825      0.6849      0.0000      0.0000   120.21988    97.29015
      0.2399    -22.263867      6.5113    -28.7752    -35.3480      6.5729      0.0000      5.4169    -40.7649      4.0804      2.4925      0.0000      0.0000   145.62764     4.93593
      0.2449    -22.264960      8.1259    -30.3909    -32.8332      2.4423      0.0000      5.4046    -38.2378      1.2221      1.2202      0.0000      0.0000   181.73902   115.07757
      0.2499    -22.265023      7.8845    -30.1496    -33.4075      3.2579      0.0000      5.5801    -38.9875      2.2211      1.0368      0.0000      0.0000   176.34026    40.07777
      0.2549    -22.265007      7.9551    -30.2201    -35.0598      4.8397      0.0000      5.8612    -40.9210      2.0358      2.8039      0.0000      0.0000   177.91757    88.84837
      0.2599    -22.264691      7.8213    -30.0860    -32.4556      2.3696      0.0000      6.2658    -38.7214      2.0687      0.3009      0.0000      0.0000   174.92496    82.97313
      0.2649    -22.263436      6.3352    -28.5987    -33.8899      5.2912      0.0000      6.5839    -40.4737      4.4334      0.8578      0.0000      0.0000   141.68977    34.13839
