# energy of h2o ( 0.0000 ps of eq)
         time    e_total         e_kin       e_pot  e_nonbond    e_bonded    e_boundary       e_vdw      e_elst      e_bond     e_angle   e_tors        e_oop temperature    pressure
      0.7999      3.523345      3.1613      0.3621      0.0000      0.3621      0.0000      0.0000      0.0000      0.1223      0.2398      0.0000      0.0000   353.51256     0.00000
      0.8199      3.523981      2.1772      1.3468      0.0000      1.3468      0.0000      0.0000      0.0000      0.4061      0.9407      0.0000      0.0000   243.46375    -0.00000
      0.8399      3.524178      1.8942      1.6300      0.0000      1.6300      0.0000      0.0000      0.0000      0.6647      0.9653      0.0000      0.0000   211.82024    -0.00000
      0.8599      3.523494      2.7380      0.7855      0.0000      0.7855      0.0000      0.0000      0.0000      0.1142      0.6713      0.0000      0.0000   306.18144     0.00000
      0.8799      3.523938      2.7577      0.7663      0.0000      0.7663      0.0000      0.0000      0.0000      0.6737      0.0926      0.0000      0.0000   308.38253     0.00000
      0.8999      3.523133      3.3614      0.1618      0.0000      0.1618      0.0000      0.0000      0.0000      0.0026      0.1591      0.0000      0.0000   375.89191     0.00000
      0.9199      3.524216      2.0230      1.5012      0.0000      1.5012      0.0000      0.0000      0.0000      0.6315      0.8698      0.0000      0.0000   226.22556    -0.00000
      0.9399      3.523863      2.1630      1.3608      0.0000      1.3608      0.0000      0.0000      0.0000      0.3483      1.0126      0.0000      0.0000   241.88428    -0.00000
      0.9599      3.523818      2.4127      1.1111      0.0000      1.1111      0.0000      0.0000      0.0000      0.3590      0.7521      0.0000      0.0000   269.80559     0.00000
      0.9799      3.523749      2.8903      0.6334      0.0000      0.6334      0.0000      0.0000      0.0000      0.5067      0.1267      0.0000      0.0000   323.21609     0.00000
      0.9999      3.523163      3.3589      0.1643      0.0000      0.1643      0.0000      0.0000      0.0000      0.0782      0.0861      0.0000      0.0000   375.60989     0.00000
      1.0199      3.524253      2.0214      1.5029      0.0000      1.5029      0.0000      0.0000      0.0000      0.6966      0.8063      0.0000      0.0000   226.04498    -0.00000
      1.0399      3.523640      2.3639      1.1597      0.0000      1.1597      0.0000      0.0000      0.0000      0.0964      1.0633      0.0000      0.0000   264.35097    -0.00000
      1.0599      3.524147      2.0962      1.4279      0.0000      1.4279      0.0000      0.0000      0.0000      0.6118      0.8161      0.0000      0.0000   234.41184     0.00000
      1.0799      3.523450      3.1033      0.4201      0.0000      0.4201      0.0000      0.0000      0.0000      0.2514      0.1687      0.0000      0.0000   347.03260     0.00000
      1.0999      3.523382      3.1912      0.3322      0.0000      0.3322      0.0000      0.0000      0.0000      0.2868      0.0454      0.0000      0.0000   356.85867    -0.00000
      1.1199      3.524072      2.2333      1.2908      0.0000      1.2908      0.0000      0.0000      0.0000      0.5890      0.7018      0.0000      0.0000   249.73814    -0.00000
      1.1399      3.523614      2.3746      1.1490      0.0000      1.1490      0.0000      0.0000      0.0000      0.0104      1.1386      0.0000      0.0000   265.54474     0.00000
      1.1599      3.524326      1.9183      1.6060      0.0000      1.6060      0.0000      0.0000      0.0000      0.7374      0.8687      0.0000      0.0000   214.51754     0.00000
      1.1799      3.523216      3.2506      0.2726      0.0000      0.2726      0.0000      0.0000      0.0000      0.0556      0.2170      0.0000      0.0000   363.50639     0.00000
      1.1999      3.523658      2.9713      0.5524      0.0000      0.5524      0.0000      0.0000      0.0000      0.5383      0.0141      0.0000      0.0000   332.26631    -0.00000
      1.2199      3.523739      2.5569      0.9668      0.0000      0.9668      0.0000      0.0000      0.0000      0.3554      0.6114      0.0000      0.0000   285.93267    -0.00000
      1.2399      3.523794      2.2662      1.2576      0.0000      1.2576      0.0000      0.0000      0.0000      0.0910      1.1665      0.0000      0.0000   253.42508     0.00000
      1.2599      3.524290      1.8862      1.6381      0.0000      1.6381      0.0000      0.0000      0.0000      0.6835      0.9547      0.0000      0.0000   210.92362     0.00000
      1.2799      3.523147      3.2706      0.2526      0.0000      0.2526      0.0000      0.0000      0.0000      0.0094      0.2432      0.0000      0.0000   365.73936     0.00000
      1.2999      3.523869      2.8026      0.7213      0.0000      0.7213      0.0000      0.0000      0.0000      0.7204      0.0009      0.0000      0.0000   313.40449    -0.00000
      1.3199      3.523390      2.8879      0.6355      0.0000      0.6355      0.0000      0.0000      0.0000      0.1117      0.5238      0.0000      0.0000   322.94193    -0.00000
      1.3399      3.524096      2.0380      1.4861      0.0000      1.4861      0.0000      0.0000      0.0000      0.3003      1.1859      0.0000      0.0000   227.89898     0.00000
      1.3599      3.524044      2.0594      1.4647      0.0000      1.4647      0.0000      0.0000      0.0000      0.4567      1.0080      0.0000      0.0000   230.29340     0.00000
      1.3799      3.523339      3.0602      0.4631      0.0000      0.4631      0.0000      0.0000      0.0000      0.1703      0.2928      0.0000      0.0000   342.21601    -0.00000
      1.3999      3.523847      2.8279      0.6959      0.0000      0.6959      0.0000      0.0000      0.0000      0.6947      0.0012      0.0000      0.0000   316.23778    -0.00000
      1.4199      3.523226      3.0916      0.4317      0.0000      0.4317      0.0000      0.0000      0.0000      0.0161      0.4156      0.0000      0.0000   345.71905     0.00000
