# energy of ch2o ( 0.0000 ps of eq)
         time    e_total         e_kin       e_pot  e_nonbond    e_bonded    e_boundary       e_vdw      e_elst      e_bond     e_angle   e_tors        e_oop temperature    pressure
      0.0399      3.911924      2.8822      1.0298      0.0000      1.0298      0.0000      0.0000      0.0000      0.2457      0.7134      0.0000      0.0707   241.72662    50.55731
      0.0409      3.911914      2.9523      0.9596      0.0000      0.9596      0.0000      0.0000      0.0000      0.2274      0.6490      0.0000      0.0833   247.60667    24.40278
      0.0419      3.912002      2.9778      0.9342      0.0000      0.9342      0.0000      0.0000      0.0000      0.3614      0.4808      0.0000      0.0920   249.75015     1.78742
      0.0429      3.912051      3.0812      0.8308      0.0000      0.8308      0.0000      0.0000      0.0000      0.4730      0.2618      0.0000      0.0960   258.42269    -8.60493
      0.0439      3.911961      3.3263      0.5856      0.0000      0.5856      0.0000      0.0000      0.0000      0.4168      0.0744      0.0000      0.0944   278.97972    -2.62983
      0.0449      3.911799      3.5774      0.3344      0.0000      0.3344      0.0000      0.0000      0.0000      0.2426      0.0051      0.0000      0.0867   300.03889    16.35421
      0.0459      3.911740      3.5994      0.3123      0.0000      0.3123      0.0000      0.0000      0.0000      0.1363      0.1036      0.0000      0.0724   301.88251    39.31314
      0.0469      3.911870      3.3077      0.6042      0.0000      0.6042      0.0000      0.0000      0.0000      0.2063      0.3448      0.0000      0.0530   277.41800    56.93167
      0.0479      3.912085      2.8941      1.0180      0.0000      1.0180      0.0000      0.0000      0.0000      0.3588      0.6277      0.0000      0.0315   242.72491    64.20393
      0.0489      3.912183      2.6718      1.2403      0.0000      1.2403      0.0000      0.0000      0.0000      0.4015      0.8259      0.0000      0.0129   224.08723    60.97798
      0.0499      3.912076      2.7841      1.1280      0.0000      1.1280      0.0000      0.0000      0.0000      0.2664      0.8597      0.0000      0.0019   233.50292    49.36254
      0.0509      3.911884      3.0766      0.8353      0.0000      0.8353      0.0000      0.0000      0.0000      0.1023      0.7322      0.0000      0.0007   258.03495    31.70779
      0.0519      3.911809      3.2730      0.6388      0.0000      0.6388      0.0000      0.0000      0.0000      0.1165      0.5135      0.0000      0.0087   274.50801    11.38483
      0.0529      3.911909      3.2638      0.6481      0.0000      0.6481      0.0000      0.0000      0.0000      0.3287      0.2963      0.0000      0.0232   273.73449    -5.47679
      0.0539      3.912041      3.1913      0.7207      0.0000      0.7207      0.0000      0.0000      0.0000      0.5245      0.1555      0.0000      0.0407   267.65567   -11.01203
      0.0549      3.912029      3.2417      0.6704      0.0000      0.6704      0.0000      0.0000      0.0000      0.4869      0.1250      0.0000      0.0585   271.87797    -0.25665
      0.0559      3.911878      3.3932      0.5186      0.0000      0.5186      0.0000      0.0000      0.0000      0.2516      0.1928      0.0000      0.0743   284.59125    24.39224
      0.0569      3.911779      3.4286      0.4832      0.0000      0.4832      0.0000      0.0000      0.0000      0.0834      0.3132      0.0000      0.0866   287.55316    53.56992
      0.0579      3.911876      3.2051      0.7068      0.0000      0.7068      0.0000      0.0000      0.0000      0.1797      0.4326      0.0000      0.0945   268.81300    76.43255
      0.0589      3.912087      2.8625      1.0496      0.0000      1.0496      0.0000      0.0000      0.0000      0.4380      0.5145      0.0000      0.0971   240.07700    86.41673
      0.0599      3.912183      2.7022      1.2100      0.0000      1.2100      0.0000      0.0000      0.0000      0.5661      0.5498      0.0000      0.0941   226.63320    82.51825
      0.0609      3.912053      2.8608      1.0513      0.0000      1.0513      0.0000      0.0000      0.0000      0.4180      0.5478      0.0000      0.0855   239.93273    66.48403
      0.0619      3.911841      3.1525      0.7594      0.0000      0.7594      0.0000      0.0000      0.0000      0.1681      0.5193      0.0000      0.0720   264.39630    40.51327
      0.0629      3.911783      3.2736      0.6382      0.0000      0.6382      0.0000      0.0000      0.0000      0.1128      0.4704      0.0000      0.0550   274.55409     8.45321
      0.0639      3.911940      3.1423      0.7697      0.0000      0.7697      0.0000      0.0000      0.0000      0.3268      0.4061      0.0000      0.0368   263.54146   -21.83051
      0.0649      3.912123      2.9837      0.9284      0.0000      0.9284      0.0000      0.0000      0.0000      0.5717      0.3368      0.0000      0.0199   250.24160   -39.63105
      0.0659      3.912112      3.0596      0.8526      0.0000      0.8526      0.0000      0.0000      0.0000      0.5672      0.2782      0.0000      0.0071   256.60467   -37.15111
      0.0669      3.911912      3.3531      0.5588      0.0000      0.5588      0.0000      0.0000      0.0000      0.3125      0.2458      0.0000      0.0005   281.22411   -15.16938
      0.0679      3.911749      3.5756      0.3362      0.0000      0.3362      0.0000      0.0000      0.0000      0.0851      0.2495      0.0000      0.0016   299.88148    16.97295
      0.0689      3.911805      3.4892      0.4226      0.0000      0.4226      0.0000      0.0000      0.0000      0.1191      0.2936      0.0000      0.0100   292.63666    47.38204
      0.0699      3.912014      3.1731      0.7389      0.0000      0.7389      0.0000      0.0000      0.0000      0.3371      0.3780      0.0000      0.0237   266.12936    68.13471
      0.0709      3.912135      2.9254      0.9868      0.0000      0.9868      0.0000      0.0000      0.0000      0.4509      0.4962      0.0000      0.0397   245.34970    76.94224
      0.0719      3.912042      2.9208      0.9913      0.0000      0.9913      0.0000      0.0000      0.0000      0.3112      0.6254      0.0000      0.0547   244.96549    74.31389
      0.0729      3.911870      3.0309      0.8810      0.0000      0.8810      0.0000      0.0000      0.0000      0.0887      0.7254      0.0000      0.0669   254.20075    61.19712
      0.0739      3.911848      3.0146      0.8972      0.0000      0.8972      0.0000      0.0000      0.0000      0.0677      0.7542      0.0000      0.0753   252.83727    40.29621
      0.0749      3.912017      2.8438      1.0682      0.0000      1.0682      0.0000      0.0000      0.0000      0.2994      0.6890      0.0000      0.0799   238.50698    18.55022
      0.0759      3.912176      2.7619      1.1502      0.0000      1.1502      0.0000      0.0000      0.0000      0.5324      0.5370      0.0000      0.0808   231.64423     5.81782
      0.0769      3.912115      2.9943      0.9178      0.0000      0.9178      0.0000      0.0000      0.0000      0.5034      0.3364      0.0000      0.0781   251.13288     8.94731
      0.0779      3.911870      3.4478      0.4641      0.0000      0.4641      0.0000      0.0000      0.0000      0.2424      0.1499      0.0000      0.0718   289.16586    26.31977
      0.0789      3.911690      3.7630      0.1487      0.0000      0.1487      0.0000      0.0000      0.0000      0.0344      0.0522      0.0000      0.0621   315.59898    48.45077
      0.0799      3.911757      3.6718      0.2399      0.0000      0.2399      0.0000      0.0000      0.0000      0.0876      0.1029      0.0000      0.0494   307.95582    64.40876
      0.0809      3.911991      3.2637      0.6483      0.0000      0.6483      0.0000      0.0000      0.0000      0.3049      0.3084      0.0000      0.0349   273.72831    68.17395
      0.0819      3.912150      2.8734      1.0388      0.0000      1.0388      0.0000      0.0000      0.0000      0.4171      0.6012      0.0000      0.0205   240.98895    59.83852
      0.0829      3.912106      2.7360      1.1761      0.0000      1.1761      0.0000      0.0000      0.0000      0.3049      0.8626      0.0000      0.0087   229.46495    42.43882
      0.0839      3.911968      2.7986      1.1133      0.0000      1.1133      0.0000      0.0000      0.0000      0.1263      0.9855      0.0000      0.0015   234.72105    19.27705
      0.0849      3.911927      2.8696      1.0423      0.0000      1.0423      0.0000      0.0000      0.0000      0.1137      0.9283      0.0000      0.0002   240.67619    -5.44097
      0.0859      3.912024      2.8907      1.0214      0.0000      1.0214      0.0000      0.0000      0.0000      0.2939      0.7230      0.0000      0.0045   242.43990   -24.90712
      0.0869      3.912106      2.9954      0.9167      0.0000      0.9167      0.0000      0.0000      0.0000      0.4555      0.4480      0.0000      0.0132   251.22198   -31.01654
      0.0879      3.912023      3.2939      0.6181      0.0000      0.6181      0.0000      0.0000      0.0000      0.3978      0.1953      0.0000      0.0250   276.25989   -19.15680
      0.0889      3.911821      3.6596      0.2522      0.0000      0.2522      0.0000      0.0000      0.0000      0.1679      0.0461      0.0000      0.0383   306.93044     7.70354
      0.0899      3.911706      3.7967      0.1150      0.0000      0.1150      0.0000      0.0000      0.0000      0.0118      0.0514      0.0000      0.0518   318.42892    39.97420
      0.0909      3.911816      3.5376      0.3742      0.0000      0.3742      0.0000      0.0000      0.0000      0.0951      0.2149      0.0000      0.0643   296.69788    67.03987
      0.0919      3.912058      3.0407      0.8713      0.0000      0.8713      0.0000      0.0000      0.0000      0.3143      0.4822      0.0000      0.0748   255.02623    82.60778
      0.0929      3.912206      2.6591      1.2531      0.0000      1.2531      0.0000      0.0000      0.0000      0.4169      0.7538      0.0000      0.0824   223.01578    85.62074
      0.0939      3.912141      2.6125      1.2996      0.0000      1.2996      0.0000      0.0000      0.0000      0.2878      0.9255      0.0000      0.0863   219.11003    77.46774
      0.0949      3.911966      2.8119      1.1001      0.0000      1.1001      0.0000      0.0000      0.0000      0.0764      0.9380      0.0000      0.0857   235.83450    59.73941
      0.0959      3.911880      3.0069      0.9050      0.0000      0.9050      0.0000      0.0000      0.0000      0.0241      0.8005      0.0000      0.0804   252.18622    35.11657
      0.0969      3.911950      3.0704      0.8415      0.0000      0.8415      0.0000      0.0000      0.0000      0.1932      0.5780      0.0000      0.0703   257.51841     9.43774
      0.0979      3.912055      3.1000      0.8121      0.0000      0.8121      0.0000      0.0000      0.0000      0.3998      0.3563      0.0000      0.0560   259.99626    -8.93388
      0.0989      3.912038      3.2428      0.6692      0.0000      0.6692      0.0000      0.0000      0.0000      0.4212      0.2090      0.0000      0.0391   271.97420   -13.35738
      0.0999      3.911902      3.4734      0.4385      0.0000      0.4385      0.0000      0.0000      0.0000      0.2400      0.1766      0.0000      0.0219   291.31676    -3.29653
      0.1009      3.911801      3.5931      0.3187      0.0000      0.3187      0.0000      0.0000      0.0000      0.0540      0.2569      0.0000      0.0078   301.35333    15.36546
      0.1019      3.911863      3.4533      0.4585      0.0000      0.4585      0.0000      0.0000      0.0000      0.0502      0.4079      0.0000      0.0004   289.63061    34.43572
      0.1029      3.912037      3.1412      0.7708      0.0000      0.7708      0.0000      0.0000      0.0000      0.2028      0.5655      0.0000      0.0025   263.45253    48.11105
      0.1039      3.912144      2.9061      1.0061      0.0000      1.0061      0.0000      0.0000      0.0000      0.3167      0.6750      0.0000      0.0143   243.73196    54.40046
      0.1049      3.912079      2.9035      1.0086      0.0000      1.0086      0.0000      0.0000      0.0000      0.2563      0.7187      0.0000      0.0336   243.51240    53.30992
      0.1059      3.911927      3.0420      0.8699      0.0000      0.8699      0.0000      0.0000      0.0000      0.0967      0.7171      0.0000      0.0560   255.13474    45.13910
      0.1069      3.911865      3.1044      0.8075      0.0000      0.8075      0.0000      0.0000      0.0000      0.0286      0.7014      0.0000      0.0775   260.36177    31.32439
      0.1079      3.911963      3.0025      0.9095      0.0000      0.9095      0.0000      0.0000      0.0000      0.1325      0.6820      0.0000      0.0950   251.81624    16.41767
      0.1089      3.912104      2.8775      1.0346      0.0000      1.0346      0.0000      0.0000      0.0000      0.2841      0.6437      0.0000      0.1069   241.33615     7.68513
      0.1099      3.912119      2.9313      0.9808      0.0000      0.9808      0.0000      0.0000      0.0000      0.3024      0.5661      0.0000      0.1123   245.84673    11.11344
      0.1109      3.911983      3.1845      0.7275      0.0000      0.7275      0.0000      0.0000      0.0000      0.1660      0.4504      0.0000      0.1110   267.08336    26.85920
      0.1119      3.911842      3.4398      0.4720      0.0000      0.4720      0.0000      0.0000      0.0000      0.0390      0.3300      0.0000      0.1031   288.49807    48.46698
      0.1129      3.911844      3.4910      0.4209      0.0000      0.4209      0.0000      0.0000      0.0000      0.0738      0.2581      0.0000      0.0890   292.78817    66.79190
      0.1139      3.911970      3.3359      0.5761      0.0000      0.5761      0.0000      0.0000      0.0000      0.2274      0.2787      0.0000      0.0700   279.77773    75.10830
      0.1149      3.912067      3.1535      0.7586      0.0000      0.7586      0.0000      0.0000      0.0000      0.3118      0.3983      0.0000      0.0485   264.47970    71.23871
      0.1159      3.912031      3.0841      0.8279      0.0000      0.8279      0.0000      0.0000      0.0000      0.2231      0.5771      0.0000      0.0278   258.66218    56.19188
      0.1169      3.911928      3.0796      0.8323      0.0000      0.8323      0.0000      0.0000      0.0000      0.0746      0.7465      0.0000      0.0112   258.28842    32.37177
      0.1179      3.911912      2.9992      0.9127      0.0000      0.9127      0.0000      0.0000      0.0000      0.0709      0.8402      0.0000      0.0016   251.54385     3.88127
      0.1189      3.912032      2.8277      1.0843      0.0000      1.0843      0.0000      0.0000      0.0000      0.2635      0.8202      0.0000      0.0007   237.15764   -22.21980
      0.1199      3.912161      2.7422      1.1699      0.0000      1.1699      0.0000      0.0000      0.0000      0.4736      0.6883      0.0000      0.0080   229.99132   -36.94523
      0.1209      3.912136      2.9279      0.9842      0.0000      0.9842      0.0000      0.0000      0.0000      0.4804      0.4817      0.0000      0.0220   245.56567   -33.70870
      0.1219      3.911948      3.3431      0.5689      0.0000      0.5689      0.0000      0.0000      0.0000      0.2676      0.2612      0.0000      0.0401   280.38200   -12.82925
      0.1229      3.911767      3.7094      0.2024      0.0000      0.2024      0.0000      0.0000      0.0000      0.0481      0.0954      0.0000      0.0589   311.10437    18.03354
      0.1239      3.911760      3.7576      0.1542      0.0000      0.1542      0.0000      0.0000      0.0000      0.0347      0.0441      0.0000      0.0754   315.15008    48.28088
      0.1249      3.911918      3.4723      0.4396      0.0000      0.4396      0.0000      0.0000      0.0000      0.2138      0.1386      0.0000      0.0872   291.22157    69.91255
      0.1259      3.912075      3.0802      0.8319      0.0000      0.8319      0.0000      0.0000      0.0000      0.3731      0.3659      0.0000      0.0930   258.33204    79.86779
      0.1269      3.912097      2.8120      1.1001      0.0000      1.1001      0.0000      0.0000      0.0000      0.3447      0.6630      0.0000      0.0924   235.84046    78.55121
      0.1279      3.912024      2.7103      1.2017      0.0000      1.2017      0.0000      0.0000      0.0000      0.1837      0.9317      0.0000      0.0862   227.31367    67.66594
      0.1289      3.911994      2.6793      1.2327      0.0000      1.2327      0.0000      0.0000      0.0000      0.0853      1.0716      0.0000      0.0758   224.70867    50.12894
      0.1299      3.912062      2.6789      1.2332      0.0000      1.2332      0.0000      0.0000      0.0000      0.1493      1.0215      0.0000      0.0624   224.67699    31.23220
      0.1309      3.912128      2.8035      1.1086      0.0000      1.1086      0.0000      0.0000      0.0000      0.2710      0.7901      0.0000      0.0475   235.12821    17.97613
      0.1319      3.912062      3.1398      0.7722      0.0000      0.7722      0.0000      0.0000      0.0000      0.2786      0.4614      0.0000      0.0323   263.33632    15.49396
