# energy of hf ( 0.0000 ps of eq)
         time    e_total         e_kin       e_pot  e_nonbond    e_bonded    e_boundary       e_vdw      e_elst      e_bond     e_angle   e_tors        e_oop temperature    pressure
      0.0079      4.642362      0.0917      4.5506      0.0000      4.5506      0.0000      0.0000      0.0000      4.5506      0.0000      0.0000      0.0000    15.38676    -0.00000
      0.0081      4.642496      0.0007      4.6418      0.0000      4.6418      0.0000      0.0000      0.0000      4.6418      0.0000      0.0000      0.0000     0.11982    -0.00000
      0.0083      4.642310      0.1265      4.5158      0.0000      4.5158      0.0000      0.0000      0.0000      4.5158      0.0000      0.0000      0.0000    21.22213    -0.00000
      0.0085      4.641822      0.4574      4.1845      0.0000      4.1845      0.0000      0.0000      0.0000      4.1845      0.0000      0.0000      0.0000    76.71908    -0.00000
      0.0087      4.641078      0.9623      3.6788      0.0000      3.6788      0.0000      0.0000      0.0000      3.6788      0.0000      0.0000      0.0000   161.41766    -0.00000
      0.0089      4.640146      1.5941      3.0461      0.0000      3.0461      0.0000      0.0000      0.0000      3.0461      0.0000      0.0000      0.0000   267.39238    -0.00000
      0.0091      4.639114      2.2936      2.3455      0.0000      2.3455      0.0000      0.0000      0.0000      2.3455      0.0000      0.0000      0.0000   384.72686    -0.00000
      0.0093      4.638079      2.9954      1.6427      0.0000      1.6427      0.0000      0.0000      0.0000      1.6427      0.0000      0.0000      0.0000   502.44177    -0.00000
      0.0095      4.637137      3.6337      1.0034      0.0000      1.0034      0.0000      0.0000      0.0000      1.0034      0.0000      0.0000      0.0000   609.52217    -0.00000
      0.0097      4.636377      4.1490      0.4874      0.0000      0.4874      0.0000      0.0000      0.0000      0.4874      0.0000      0.0000      0.0000   695.94823    -0.00000
      0.0099      4.635870      4.4929      0.1430      0.0000      0.1430      0.0000      0.0000      0.0000      0.1430      0.0000      0.0000      0.0000   753.63281    -0.00000
      0.0101      4.635663      4.6332      0.0024      0.0000      0.0024      0.0000      0.0000      0.0000      0.0024      0.0000      0.0000      0.0000   777.17819     0.00000
      0.0103      4.635775      4.5569      0.0788      0.0000      0.0788      0.0000      0.0000      0.0000      0.0788      0.0000      0.0000      0.0000   764.38115     0.00000
      0.0105      4.636197      4.2711      0.3651      0.0000      0.3651      0.0000      0.0000      0.0000      0.3651      0.0000      0.0000      0.0000   716.43917     0.00000
      0.0107      4.636888      3.8025      0.8343      0.0000      0.8343      0.0000      0.0000      0.0000      0.8343      0.0000      0.0000      0.0000   637.83830     0.00000
