# energy [kcal/mol] of he2
#  conf     e_total  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
   3500 -1.07758e-06 -1.078e-06  0.000e+00  0.000e+00 -1.078e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   3600 -3.22274e-07 -3.223e-07  0.000e+00  0.000e+00 -3.223e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   3700 -1.50957e-09 -1.510e-09  0.000e+00  0.000e+00 -1.510e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   3800 -1.83502e-08 -1.835e-08  0.000e+00  0.000e+00 -1.835e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   3900 -3.75305e-09 -3.753e-09  0.000e+00  0.000e+00 -3.753e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4000 -1.43227e-06 -1.432e-06  0.000e+00  0.000e+00 -1.432e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4100 -6.47003e-07 -6.470e-07  0.000e+00  0.000e+00 -6.470e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4200 -4.70278e-09 -4.703e-09  0.000e+00  0.000e+00 -4.703e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4300 -9.48736e-09 -9.487e-09  0.000e+00  0.000e+00 -9.487e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4400 -1.57750e-06 -1.577e-06  0.000e+00  0.000e+00 -1.577e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4500 -3.64449e-09 -3.644e-09  0.000e+00  0.000e+00 -3.644e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4600 -1.42816e-06 -1.428e-06  0.000e+00  0.000e+00 -1.428e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4700 -1.70669e-07 -1.707e-07  0.000e+00  0.000e+00 -1.707e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4800 -5.22973e-07 -5.230e-07  0.000e+00  0.000e+00 -5.230e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   4900 -1.21145e-08 -1.211e-08  0.000e+00  0.000e+00 -1.211e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5000 -5.72020e-08 -5.720e-08  0.000e+00  0.000e+00 -5.720e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5100 -8.89452e-08 -8.895e-08  0.000e+00  0.000e+00 -8.895e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5200 -1.74974e-07 -1.750e-07  0.000e+00  0.000e+00 -1.750e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5300 -3.32647e-05 -3.326e-05  0.000e+00  0.000e+00 -3.326e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5400 -8.36772e-06 -8.368e-06  0.000e+00  0.000e+00 -8.368e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5500 -7.92357e-07 -7.924e-07  0.000e+00  0.000e+00 -7.924e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5600 -4.05148e-07 -4.051e-07  0.000e+00  0.000e+00 -4.051e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5700 -7.91347e-06 -7.913e-06  0.000e+00  0.000e+00 -7.913e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5800 -1.51957e-06 -1.520e-06  0.000e+00  0.000e+00 -1.520e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   5900 -1.25099e-07 -1.251e-07  0.000e+00  0.000e+00 -1.251e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6000 -1.50119e-08 -1.501e-08  0.000e+00  0.000e+00 -1.501e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6100 -1.12473e-07 -1.125e-07  0.000e+00  0.000e+00 -1.125e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6200 -1.94776e-06 -1.948e-06  0.000e+00  0.000e+00 -1.948e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6300 -3.74126e-08 -3.741e-08  0.000e+00  0.000e+00 -3.741e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6400 -2.98749e-09 -2.987e-09  0.000e+00  0.000e+00 -2.987e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6500 -1.33120e-07 -1.331e-07  0.000e+00  0.000e+00 -1.331e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6600 -7.41816e-08 -7.418e-08  0.000e+00  0.000e+00 -7.418e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6700 -1.18069e-06 -1.181e-06  0.000e+00  0.000e+00 -1.181e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6800 -1.26217e-06 -1.262e-06  0.000e+00  0.000e+00 -1.262e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   6900 -4.41822e-07 -4.418e-07  0.000e+00  0.000e+00 -4.418e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7000 -4.80783e-08 -4.808e-08  0.000e+00  0.000e+00 -4.808e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7100 -1.91888e-08 -1.919e-08  0.000e+00  0.000e+00 -1.919e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7200 -1.15813e-08 -1.158e-08  0.000e+00  0.000e+00 -1.158e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7300 -1.74635e-07 -1.746e-07  0.000e+00  0.000e+00 -1.746e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7400 -2.72995e-07 -2.730e-07  0.000e+00  0.000e+00 -2.730e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7500 -1.84439e-07 -1.844e-07  0.000e+00  0.000e+00 -1.844e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
