#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/he20.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/prm/he20.prm
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/he20.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/he20.xyz
# RANDOMSEED 747663306
# TEMPERATURE 298.150000 K
# BOUNDARY 46.860000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 25
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    900 -2.36084e-04 -2.361e-04  0.000e+00  0.000e+00 -2.361e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    925 -1.08498e-04 -1.085e-04  0.000e+00  0.000e+00 -1.085e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    950 -9.57667e-05 -9.577e-05  0.000e+00  0.000e+00 -9.577e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    975 -4.13912e-03 -4.139e-03  0.000e+00  0.000e+00 -4.139e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1000 -4.53914e-05 -4.539e-05  0.000e+00  0.000e+00 -4.539e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1025 -1.74085e-04 -1.741e-04  0.000e+00  0.000e+00 -1.741e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1050 -1.92126e-02 -1.921e-02  0.000e+00  0.000e+00 -1.921e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1075 -2.78528e-04 -2.785e-04  0.000e+00  0.000e+00 -2.785e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1100 -1.58645e-04 -1.586e-04  0.000e+00  0.000e+00 -1.586e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1125 -2.05370e-04 -2.054e-04  0.000e+00  0.000e+00 -2.054e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1150 -1.53942e-04 -1.539e-04  0.000e+00  0.000e+00 -1.539e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1175 -2.43526e-04 -2.435e-04  0.000e+00  0.000e+00 -2.435e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1200 -8.54108e-04 -8.541e-04  0.000e+00  0.000e+00 -8.541e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1225 -2.51061e-03 -2.511e-03  0.000e+00  0.000e+00 -2.511e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1250 -2.02997e-02 -2.030e-02  0.000e+00  0.000e+00 -2.030e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1275 -1.92282e-04 -1.923e-04  0.000e+00  0.000e+00 -1.923e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1300 -6.12023e-04 -6.120e-04  0.000e+00  0.000e+00 -6.120e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1325 -1.48923e-03 -1.489e-03  0.000e+00  0.000e+00 -1.489e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1350 -2.09657e-04 -2.097e-04  0.000e+00  0.000e+00 -2.097e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1375 -1.02202e-04 -1.022e-04  0.000e+00  0.000e+00 -1.022e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1400 -8.24584e-05 -8.246e-05  0.000e+00  0.000e+00 -8.246e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1425 -2.12965e-04 -2.130e-04  0.000e+00  0.000e+00 -2.130e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1450 -2.95330e-05 -2.953e-05  0.000e+00  0.000e+00 -2.953e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1475 -4.19921e-03 -4.199e-03  0.000e+00  0.000e+00 -4.199e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1500 -1.89120e-03 -1.891e-03  0.000e+00  0.000e+00 -1.891e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1525 -7.92286e-05 -7.923e-05  0.000e+00  0.000e+00 -7.923e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1550 -7.82583e-05 -7.826e-05  0.000e+00  0.000e+00 -7.826e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1575 -2.56350e-04 -2.563e-04  0.000e+00  0.000e+00 -2.563e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1600 -8.73206e-02 -8.732e-02  0.000e+00  0.000e+00 -8.732e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1625 -4.11529e-04 -4.115e-04  0.000e+00  0.000e+00 -4.115e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1650 -5.40109e-04 -5.401e-04  0.000e+00  0.000e+00 -5.401e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1675 -2.62852e-04 -2.629e-04  0.000e+00  0.000e+00 -2.629e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1700 -2.78159e-04 -2.782e-04  0.000e+00  0.000e+00 -2.782e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1725 -4.02777e-05 -4.028e-05  0.000e+00  0.000e+00 -4.028e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1750 -1.02368e-03 -1.024e-03  0.000e+00  0.000e+00 -1.024e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1775 -2.23592e-04 -2.236e-04  0.000e+00  0.000e+00 -2.236e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1800 -3.84099e-04 -3.841e-04  0.000e+00  0.000e+00 -3.841e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1825 -3.97939e-05 -3.979e-05  0.000e+00  0.000e+00 -3.979e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1850 -3.23587e-03 -3.236e-03  0.000e+00  0.000e+00 -3.236e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1875 -2.23256e-04 -2.233e-04  0.000e+00  0.000e+00 -2.233e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1900 -2.47735e-02 -2.477e-02  0.000e+00  0.000e+00 -2.477e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1925 -1.10732e-03 -1.107e-03  0.000e+00  0.000e+00 -1.107e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1950 -4.52375e-04 -4.524e-04  0.000e+00  0.000e+00 -4.524e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1975 -3.95055e-04 -3.951e-04  0.000e+00  0.000e+00 -3.951e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2000 -2.50793e-05 -2.508e-05  0.000e+00  0.000e+00 -2.508e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2025 -8.17932e-05 -8.179e-05  0.000e+00  0.000e+00 -8.179e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2050 -4.75803e-05 -4.758e-05  0.000e+00  0.000e+00 -4.758e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2075 -2.88940e-03 -2.889e-03  0.000e+00  0.000e+00 -2.889e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2100 -2.89188e-04 -2.892e-04  0.000e+00  0.000e+00 -2.892e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2125 -6.32103e-05 -6.321e-05  0.000e+00  0.000e+00 -6.321e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
