#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/benzene_2.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/xyzq/benzene_2.xyzq
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.xyz
# RANDOMSEED 558222221
# TEMPERATURE 15.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 25
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    925  2.33215e+00  1.303e+00  1.029e+00  0.000e+00 -6.441e-01  1.947e+00  3.680e-01  4.258e-01  2.258e-01  9.916e-03
    950  2.26431e+00  1.300e+00  9.642e-01  0.000e+00 -6.442e-01  1.944e+00  3.070e-01  4.294e-01  2.194e-01  8.390e-03
    975  2.67558e+00  1.304e+00  1.371e+00  0.000e+00 -6.430e-01  1.947e+00  3.781e-01  6.317e-01  3.468e-01  1.484e-02
   1000  2.54624e+00  1.306e+00  1.240e+00  0.000e+00 -6.442e-01  1.950e+00  3.998e-01  4.537e-01  3.686e-01  1.827e-02
   1025  2.23777e+00  1.308e+00  9.298e-01  0.000e+00 -6.441e-01  1.952e+00  2.612e-01  3.207e-01  3.317e-01  1.620e-02
   1050  2.56025e+00  1.308e+00  1.253e+00  0.000e+00 -6.447e-01  1.952e+00  5.015e-01  3.533e-01  3.769e-01  2.089e-02
   1075  2.85494e+00  1.310e+00  1.545e+00  0.000e+00 -6.447e-01  1.955e+00  7.118e-01  4.568e-01  3.582e-01  1.792e-02
   1100  2.51186e+00  1.310e+00  1.202e+00  0.000e+00 -6.445e-01  1.955e+00  4.146e-01  4.547e-01  3.201e-01  1.222e-02
   1125  2.42693e+00  1.305e+00  1.122e+00  0.000e+00 -6.449e-01  1.950e+00  4.013e-01  4.239e-01  2.860e-01  1.030e-02
   1150  2.53974e+00  1.306e+00  1.234e+00  0.000e+00 -6.453e-01  1.951e+00  5.341e-01  3.782e-01  3.122e-01  9.711e-03
