#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/benzene_2.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/xyzq/benzene_2.xyzq
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.xyz
# RANDOMSEED 558222221
# TEMPERATURE 15.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 25
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
   3925  2.31204e+00  1.313e+00  9.994e-01  0.000e+00 -6.332e-01  1.946e+00  3.058e-01  3.658e-01  3.107e-01  1.706e-02
   3950  2.26213e+00  1.311e+00  9.516e-01  0.000e+00 -6.326e-01  1.943e+00  3.277e-01  2.923e-01  3.129e-01  1.876e-02
   3975  2.27576e+00  1.312e+00  9.641e-01  0.000e+00 -6.331e-01  1.945e+00  4.180e-01  2.301e-01  2.982e-01  1.775e-02
   4000  2.18055e+00  1.318e+00  8.621e-01  0.000e+00 -6.331e-01  1.951e+00  2.880e-01  2.439e-01  3.110e-01  1.924e-02
   4025  2.29969e+00  1.318e+00  9.821e-01  0.000e+00 -6.334e-01  1.951e+00  2.957e-01  3.488e-01  3.184e-01  1.926e-02
   4050  2.30688e+00  1.318e+00  9.893e-01  0.000e+00 -6.329e-01  1.951e+00  2.425e-01  4.116e-01  3.200e-01  1.511e-02
   4075  2.53828e+00  1.317e+00  1.221e+00  0.000e+00 -6.317e-01  1.949e+00  4.943e-01  3.647e-01  3.487e-01  1.374e-02
   4100  2.53788e+00  1.317e+00  1.221e+00  0.000e+00 -6.334e-01  1.950e+00  4.722e-01  3.479e-01  3.833e-01  1.784e-02
   4125  2.48719e+00  1.314e+00  1.173e+00  0.000e+00 -6.327e-01  1.947e+00  3.780e-01  3.947e-01  3.805e-01  1.984e-02
   4150  2.39903e+00  1.314e+00  1.085e+00  0.000e+00 -6.326e-01  1.947e+00  3.097e-01  3.121e-01  4.397e-01  2.371e-02
   4175  2.39685e+00  1.317e+00  1.080e+00  0.000e+00 -6.319e-01  1.949e+00  3.056e-01  2.687e-01  4.828e-01  2.275e-02
   4200  2.35242e+00  1.313e+00  1.039e+00  0.000e+00 -6.329e-01  1.946e+00  2.793e-01  3.175e-01  4.239e-01  1.840e-02
   4225  2.37318e+00  1.317e+00  1.056e+00  0.000e+00 -6.330e-01  1.950e+00  3.881e-01  2.531e-01  4.012e-01  1.387e-02
   4250  2.36730e+00  1.321e+00  1.046e+00  0.000e+00 -6.331e-01  1.954e+00  4.009e-01  2.782e-01  3.519e-01  1.505e-02
   4275  2.41996e+00  1.321e+00  1.099e+00  0.000e+00 -6.353e-01  1.957e+00  3.924e-01  2.708e-01  4.133e-01  2.215e-02
   4300  2.29031e+00  1.315e+00  9.748e-01  0.000e+00 -6.344e-01  1.950e+00  3.529e-01  1.893e-01  4.095e-01  2.318e-02
   4325  2.20444e+00  1.313e+00  8.914e-01  0.000e+00 -6.335e-01  1.947e+00  2.537e-01  1.365e-01  4.695e-01  3.160e-02
   4350  2.14196e+00  1.314e+00  8.277e-01  0.000e+00 -6.331e-01  1.947e+00  2.364e-01  1.458e-01  4.196e-01  2.595e-02
   4375  2.08473e+00  1.315e+00  7.701e-01  0.000e+00 -6.333e-01  1.948e+00  2.899e-01  1.311e-01  3.306e-01  1.848e-02
   4400  2.11053e+00  1.318e+00  7.930e-01  0.000e+00 -6.320e-01  1.950e+00  3.263e-01  1.384e-01  3.105e-01  1.768e-02
   4425  2.03747e+00  1.315e+00  7.223e-01  0.000e+00 -6.308e-01  1.946e+00  1.985e-01  1.386e-01  3.636e-01  2.157e-02
   4450  2.11902e+00  1.317e+00  8.021e-01  0.000e+00 -6.321e-01  1.949e+00  1.966e-01  1.653e-01  4.133e-01  2.694e-02
   4475  2.10565e+00  1.316e+00  7.895e-01  0.000e+00 -6.310e-01  1.947e+00  1.315e-01  1.780e-01  4.515e-01  2.851e-02
   4500  2.12363e+00  1.315e+00  8.086e-01  0.000e+00 -6.326e-01  1.948e+00  3.195e-01  1.141e-01  3.588e-01  1.623e-02
   4525  2.20865e+00  1.316e+00  8.929e-01  0.000e+00 -6.335e-01  1.949e+00  3.682e-01  2.009e-01  3.101e-01  1.379e-02
   4550  2.11687e+00  1.309e+00  8.075e-01  0.000e+00 -6.322e-01  1.942e+00  3.181e-01  1.804e-01  2.956e-01  1.343e-02
   4575  2.25250e+00  1.317e+00  9.359e-01  0.000e+00 -6.320e-01  1.949e+00  5.138e-01  1.802e-01  2.338e-01  8.154e-03
   4600  2.20034e+00  1.317e+00  8.837e-01  0.000e+00 -6.317e-01  1.948e+00  4.779e-01  1.105e-01  2.817e-01  1.355e-02
   4625  2.16565e+00  1.318e+00  8.476e-01  0.000e+00 -6.323e-01  1.950e+00  3.292e-01  1.460e-01  3.521e-01  2.035e-02
   4650  2.18691e+00  1.315e+00  8.716e-01  0.000e+00 -6.344e-01  1.950e+00  2.892e-01  1.460e-01  4.122e-01  2.419e-02
   4675  2.16602e+00  1.314e+00  8.523e-01  0.000e+00 -6.343e-01  1.948e+00  2.428e-01  1.240e-01  4.554e-01  3.011e-02
   4700  2.33864e+00  1.317e+00  1.022e+00  0.000e+00 -6.346e-01  1.952e+00  3.977e-01  1.373e-01  4.551e-01  3.140e-02
   4725  2.19132e+00  1.316e+00  8.755e-01  0.000e+00 -6.341e-01  1.950e+00  2.292e-01  2.188e-01  4.020e-01  2.557e-02
   4750  2.17199e+00  1.317e+00  8.548e-01  0.000e+00 -6.352e-01  1.952e+00  2.402e-01  1.949e-01  3.925e-01  2.725e-02
   4775  2.18065e+00  1.312e+00  8.689e-01  0.000e+00 -6.345e-01  1.946e+00  2.864e-01  1.618e-01  3.965e-01  2.421e-02
   4800  2.30785e+00  1.313e+00  9.952e-01  0.000e+00 -6.357e-01  1.948e+00  3.982e-01  1.566e-01  4.187e-01  2.174e-02
   4825  2.44128e+00  1.313e+00  1.128e+00  0.000e+00 -6.350e-01  1.948e+00  4.800e-01  1.915e-01  4.377e-01  1.924e-02
   4850  2.33200e+00  1.312e+00  1.020e+00  0.000e+00 -6.352e-01  1.947e+00  4.244e-01  1.837e-01  3.993e-01  1.291e-02
   4875  2.24405e+00  1.312e+00  9.325e-01  0.000e+00 -6.338e-01  1.945e+00  3.046e-01  1.790e-01  4.323e-01  1.646e-02
   4900  2.17668e+00  1.312e+00  8.648e-01  0.000e+00 -6.335e-01  1.945e+00  3.039e-01  1.524e-01  3.901e-01  1.838e-02
   4925  2.09083e+00  1.314e+00  7.767e-01  0.000e+00 -6.323e-01  1.946e+00  1.731e-01  1.861e-01  4.014e-01  1.609e-02
   4950  2.26315e+00  1.321e+00  9.425e-01  0.000e+00 -6.316e-01  1.952e+00  3.703e-01  2.138e-01  3.466e-01  1.171e-02
   4975  2.14100e+00  1.314e+00  8.266e-01  0.000e+00 -6.310e-01  1.945e+00  2.668e-01  1.966e-01  3.489e-01  1.435e-02
   5000  2.25362e+00  1.315e+00  9.386e-01  0.000e+00 -6.304e-01  1.945e+00  2.682e-01  2.865e-01  3.647e-01  1.920e-02
   5025  2.24824e+00  1.317e+00  9.314e-01  0.000e+00 -6.302e-01  1.947e+00  2.922e-01  2.822e-01  3.409e-01  1.608e-02
   5050  2.24567e+00  1.315e+00  9.306e-01  0.000e+00 -6.312e-01  1.946e+00  3.390e-01  2.834e-01  2.947e-01  1.332e-02
   5075  2.38475e+00  1.318e+00  1.066e+00  0.000e+00 -6.299e-01  1.948e+00  4.223e-01  3.827e-01  2.521e-01  9.180e-03
   5100  2.31830e+00  1.318e+00  1.000e+00  0.000e+00 -6.298e-01  1.948e+00  4.026e-01  3.855e-01  2.061e-01  5.992e-03
   5125  2.18809e+00  1.320e+00  8.679e-01  0.000e+00 -6.303e-01  1.951e+00  2.049e-01  3.481e-01  2.984e-01  1.643e-02
   5150  2.16099e+00  1.323e+00  8.381e-01  0.000e+00 -6.296e-01  1.953e+00  3.125e-01  2.560e-01  2.593e-01  1.038e-02
   5175  2.29330e+00  1.318e+00  9.753e-01  0.000e+00 -6.291e-01  1.947e+00  4.212e-01  2.398e-01  2.994e-01  1.490e-02
   5200  2.41651e+00  1.319e+00  1.097e+00  0.000e+00 -6.296e-01  1.949e+00  4.457e-01  2.362e-01  3.912e-01  2.430e-02
   5225  2.44214e+00  1.318e+00  1.124e+00  0.000e+00 -6.300e-01  1.948e+00  2.967e-01  3.240e-01  4.694e-01  3.406e-02
   5250  2.30431e+00  1.324e+00  9.806e-01  0.000e+00 -6.290e-01  1.953e+00  3.468e-01  3.075e-01  3.092e-01  1.710e-02
   5275  2.28856e+00  1.321e+00  9.679e-01  0.000e+00 -6.299e-01  1.951e+00  2.959e-01  2.850e-01  3.679e-01  1.913e-02
   5300  2.40103e+00  1.318e+00  1.083e+00  0.000e+00 -6.292e-01  1.947e+00  4.430e-01  2.865e-01  3.344e-01  1.926e-02
   5325  2.26725e+00  1.320e+00  9.470e-01  0.000e+00 -6.303e-01  1.951e+00  3.854e-01  2.229e-01  3.256e-01  1.302e-02
   5350  2.37607e+00  1.324e+00  1.052e+00  0.000e+00 -6.298e-01  1.954e+00  5.347e-01  2.643e-01  2.419e-01  1.085e-02
   5375  2.16696e+00  1.321e+00  8.464e-01  0.000e+00 -6.292e-01  1.950e+00  3.879e-01  2.280e-01  2.242e-01  6.349e-03
   5400  2.13482e+00  1.319e+00  8.155e-01  0.000e+00 -6.297e-01  1.949e+00  2.084e-01  3.223e-01  2.746e-01  1.018e-02
   5425  2.12251e+00  1.319e+00  8.037e-01  0.000e+00 -6.287e-01  1.948e+00  3.201e-01  2.045e-01  2.713e-01  7.793e-03
   5450  2.24637e+00  1.323e+00  9.237e-01  0.000e+00 -6.286e-01  1.951e+00  3.349e-01  2.872e-01  2.908e-01  1.091e-02
   5475  2.18541e+00  1.323e+00  8.627e-01  0.000e+00 -6.297e-01  1.952e+00  2.561e-01  2.392e-01  3.510e-01  1.631e-02
   5500  2.19647e+00  1.319e+00  8.779e-01  0.000e+00 -6.301e-01  1.949e+00  3.761e-01  1.365e-01  3.449e-01  2.032e-02
   5525  2.15211e+00  1.320e+00  8.325e-01  0.000e+00 -6.284e-01  1.948e+00  3.897e-01  1.515e-01  2.787e-01  1.266e-02
   5550  2.19565e+00  1.318e+00  8.773e-01  0.000e+00 -6.266e-01  1.945e+00  3.557e-01  2.476e-01  2.601e-01  1.393e-02
   5575  2.33711e+00  1.319e+00  1.018e+00  0.000e+00 -6.268e-01  1.946e+00  5.102e-01  2.664e-01  2.288e-01  1.284e-02
   5600  2.24584e+00  1.322e+00  9.240e-01  0.000e+00 -6.272e-01  1.949e+00  3.711e-01  3.402e-01  2.031e-01  9.673e-03
   5625  2.27374e+00  1.321e+00  9.526e-01  0.000e+00 -6.275e-01  1.949e+00  3.681e-01  3.020e-01  2.654e-01  1.710e-02
   5650  2.38282e+00  1.318e+00  1.065e+00  0.000e+00 -6.272e-01  1.945e+00  5.437e-01  2.967e-01  2.123e-01  1.247e-02
   5675  2.23508e+00  1.318e+00  9.172e-01  0.000e+00 -6.273e-01  1.945e+00  3.116e-01  3.298e-01  2.595e-01  1.623e-02
   5700  2.19241e+00  1.316e+00  8.768e-01  0.000e+00 -6.276e-01  1.943e+00  2.513e-01  3.175e-01  2.879e-01  2.014e-02
   5725  2.22730e+00  1.320e+00  9.073e-01  0.000e+00 -6.279e-01  1.948e+00  4.207e-01  2.691e-01  2.026e-01  1.482e-02
   5750  2.19151e+00  1.317e+00  8.747e-01  0.000e+00 -6.281e-01  1.945e+00  4.309e-01  2.013e-01  2.255e-01  1.699e-02
   5775  2.30081e+00  1.317e+00  9.837e-01  0.000e+00 -6.289e-01  1.946e+00  5.448e-01  2.082e-01  2.154e-01  1.528e-02
   5800  2.29628e+00  1.318e+00  9.785e-01  0.000e+00 -6.282e-01  1.946e+00  5.629e-01  2.171e-01  1.856e-01  1.290e-02
   5825  2.22529e+00  1.318e+00  9.068e-01  0.000e+00 -6.293e-01  1.948e+00  4.804e-01  2.118e-01  2.008e-01  1.380e-02
   5850  2.25172e+00  1.314e+00  9.380e-01  0.000e+00 -6.282e-01  1.942e+00  3.312e-01  3.044e-01  2.808e-01  2.169e-02
   5875  2.19303e+00  1.316e+00  8.774e-01  0.000e+00 -6.288e-01  1.944e+00  3.560e-01  1.856e-01  3.110e-01  2.475e-02
   5900  2.19440e+00  1.317e+00  8.772e-01  0.000e+00 -6.282e-01  1.945e+00  2.839e-01  1.781e-01  3.833e-01  3.194e-02
   5925  2.38129e+00  1.314e+00  1.067e+00  0.000e+00 -6.295e-01  1.944e+00  3.921e-01  3.605e-01  2.910e-01  2.331e-02
   5950  2.34191e+00  1.314e+00  1.028e+00  0.000e+00 -6.304e-01  1.944e+00  3.734e-01  2.761e-01  3.506e-01  2.777e-02
   5975  2.30663e+00  1.314e+00  9.925e-01  0.000e+00 -6.320e-01  1.946e+00  4.751e-01  2.443e-01  2.522e-01  2.087e-02
   6000  2.38371e+00  1.312e+00  1.072e+00  0.000e+00 -6.335e-01  1.945e+00  3.360e-01  4.680e-01  2.495e-01  1.845e-02
   6025  2.41100e+00  1.318e+00  1.093e+00  0.000e+00 -6.346e-01  1.952e+00  5.114e-01  3.335e-01  2.325e-01  1.585e-02
   6050  2.40778e+00  1.312e+00  1.096e+00  0.000e+00 -6.348e-01  1.947e+00  5.211e-01  3.032e-01  2.545e-01  1.715e-02
   6075  2.22505e+00  1.311e+00  9.138e-01  0.000e+00 -6.345e-01  1.946e+00  3.587e-01  2.878e-01  2.520e-01  1.540e-02
   6100  2.13851e+00  1.320e+00  8.186e-01  0.000e+00 -6.343e-01  1.954e+00  3.627e-01  2.137e-01  2.299e-01  1.227e-02
   6125  2.24344e+00  1.324e+00  9.192e-01  0.000e+00 -6.344e-01  1.959e+00  4.278e-01  2.573e-01  2.227e-01  1.146e-02
   6150  2.23480e+00  1.316e+00  9.190e-01  0.000e+00 -6.356e-01  1.951e+00  2.495e-01  3.772e-01  2.743e-01  1.792e-02
   6175  2.44190e+00  1.316e+00  1.126e+00  0.000e+00 -6.358e-01  1.952e+00  3.677e-01  3.685e-01  3.634e-01  2.610e-02
   6200  2.39597e+00  1.320e+00  1.076e+00  0.000e+00 -6.350e-01  1.955e+00  2.817e-01  3.858e-01  3.803e-01  2.830e-02
   6225  2.46480e+00  1.319e+00  1.146e+00  0.000e+00 -6.357e-01  1.955e+00  2.681e-01  4.606e-01  3.856e-01  3.155e-02
   6250  2.44645e+00  1.319e+00  1.127e+00  0.000e+00 -6.364e-01  1.956e+00  2.499e-01  4.817e-01  3.647e-01  3.066e-02
   6275  2.54131e+00  1.321e+00  1.220e+00  0.000e+00 -6.345e-01  1.956e+00  5.081e-01  3.790e-01  3.068e-01  2.598e-02
   6300  2.42079e+00  1.320e+00  1.101e+00  0.000e+00 -6.349e-01  1.955e+00  4.229e-01  3.974e-01  2.591e-01  2.137e-02
   6325  2.53000e+00  1.320e+00  1.210e+00  0.000e+00 -6.349e-01  1.955e+00  5.447e-01  3.614e-01  2.798e-01  2.373e-02
   6350  2.33782e+00  1.317e+00  1.021e+00  0.000e+00 -6.360e-01  1.953e+00  3.562e-01  3.631e-01  2.805e-01  2.104e-02
   6375  2.45443e+00  1.315e+00  1.139e+00  0.000e+00 -6.367e-01  1.952e+00  3.941e-01  4.153e-01  3.075e-01  2.229e-02
   6400  2.51080e+00  1.316e+00  1.195e+00  0.000e+00 -6.358e-01  1.952e+00  5.051e-01  3.527e-01  3.146e-01  2.231e-02
   6425  2.53674e+00  1.315e+00  1.221e+00  0.000e+00 -6.353e-01  1.951e+00  6.023e-01  2.879e-01  3.096e-01  2.166e-02
   6450  2.40800e+00  1.317e+00  1.091e+00  0.000e+00 -6.359e-01  1.953e+00  4.523e-01  3.461e-01  2.721e-01  2.081e-02
   6475  2.29274e+00  1.314e+00  9.784e-01  0.000e+00 -6.367e-01  1.951e+00  2.919e-01  4.041e-01  2.627e-01  1.967e-02
   6500  2.22943e+00  1.312e+00  9.174e-01  0.000e+00 -6.383e-01  1.950e+00  2.335e-01  3.686e-01  2.928e-01  2.261e-02
   6525  2.33635e+00  1.314e+00  1.023e+00  0.000e+00 -6.378e-01  1.951e+00  3.105e-01  3.901e-01  2.987e-01  2.341e-02
   6550  2.39335e+00  1.313e+00  1.081e+00  0.000e+00 -6.360e-01  1.949e+00  2.269e-01  4.131e-01  4.040e-01  3.672e-02
   6575  2.31103e+00  1.313e+00  9.980e-01  0.000e+00 -6.352e-01  1.948e+00  2.006e-01  2.736e-01  4.760e-01  4.776e-02
   6600  2.59284e+00  1.313e+00  1.280e+00  0.000e+00 -6.358e-01  1.949e+00  4.037e-01  3.017e-01  5.252e-01  4.942e-02
   6625  2.33215e+00  1.309e+00  1.023e+00  0.000e+00 -6.356e-01  1.944e+00  3.657e-01  2.192e-01  4.057e-01  3.289e-02
   6650  2.35951e+00  1.317e+00  1.043e+00  0.000e+00 -6.367e-01  1.954e+00  3.536e-01  3.142e-01  3.464e-01  2.845e-02
   6675  2.37199e+00  1.317e+00  1.055e+00  0.000e+00 -6.371e-01  1.954e+00  4.182e-01  2.606e-01  3.466e-01  2.943e-02
   6700  2.33659e+00  1.318e+00  1.019e+00  0.000e+00 -6.366e-01  1.955e+00  4.366e-01  2.706e-01  2.908e-01  2.067e-02
   6725  2.56721e+00  1.316e+00  1.251e+00  0.000e+00 -6.360e-01  1.952e+00  5.527e-01  3.261e-01  3.445e-01  2.755e-02
   6750  2.45989e+00  1.320e+00  1.140e+00  0.000e+00 -6.344e-01  1.955e+00  4.900e-01  2.540e-01  3.681e-01  2.757e-02
   6775  2.78491e+00  1.315e+00  1.470e+00  0.000e+00 -6.352e-01  1.950e+00  6.761e-01  3.691e-01  3.957e-01  2.897e-02
   6800  2.38558e+00  1.315e+00  1.070e+00  0.000e+00 -6.343e-01  1.950e+00  2.918e-01  3.767e-01  3.759e-01  2.579e-02
   6825  2.29175e+00  1.315e+00  9.772e-01  0.000e+00 -6.335e-01  1.948e+00  2.882e-01  3.137e-01  3.519e-01  2.347e-02
   6850  2.14774e+00  1.315e+00  8.326e-01  0.000e+00 -6.332e-01  1.948e+00  2.682e-01  1.977e-01  3.438e-01  2.281e-02
   6875  2.18107e+00  1.315e+00  8.662e-01  0.000e+00 -6.345e-01  1.949e+00  2.966e-01  1.424e-01  4.029e-01  2.431e-02
   6900  2.18830e+00  1.317e+00  8.709e-01  0.000e+00 -6.320e-01  1.949e+00  3.745e-01  1.386e-01  3.385e-01  1.930e-02
   6925  2.30458e+00  1.320e+00  9.842e-01  0.000e+00 -6.322e-01  1.953e+00  3.832e-01  2.123e-01  3.656e-01  2.302e-02
   6950  2.25897e+00  1.319e+00  9.401e-01  0.000e+00 -6.334e-01  1.952e+00  3.791e-01  2.168e-01  3.232e-01  2.094e-02
   6975  2.24305e+00  1.315e+00  9.284e-01  0.000e+00 -6.351e-01  1.950e+00  1.843e-01  2.766e-01  4.339e-01  3.367e-02
   7000  2.22138e+00  1.312e+00  9.099e-01  0.000e+00 -6.344e-01  1.946e+00  1.295e-01  3.056e-01  4.418e-01  3.297e-02
   7025  2.52255e+00  1.319e+00  1.204e+00  0.000e+00 -6.328e-01  1.952e+00  4.152e-01  2.747e-01  4.798e-01  3.404e-02
   7050  2.34883e+00  1.316e+00  1.032e+00  0.000e+00 -6.333e-01  1.950e+00  3.385e-01  2.380e-01  4.248e-01  3.118e-02
   7075  2.57633e+00  1.311e+00  1.266e+00  0.000e+00 -6.334e-01  1.944e+00  6.351e-01  2.170e-01  3.831e-01  3.029e-02
   7100  2.29938e+00  1.308e+00  9.916e-01  0.000e+00 -6.343e-01  1.942e+00  5.185e-01  1.097e-01  3.349e-01  2.851e-02
   7125  2.15323e+00  1.309e+00  8.443e-01  0.000e+00 -6.335e-01  1.942e+00  4.721e-01  1.027e-01  2.518e-01  1.768e-02
   7150  2.01692e+00  1.307e+00  7.097e-01  0.000e+00 -6.338e-01  1.941e+00  2.653e-01  1.872e-01  2.382e-01  1.899e-02
   7175  2.08893e+00  1.309e+00  7.802e-01  0.000e+00 -6.341e-01  1.943e+00  3.261e-01  2.218e-01  2.140e-01  1.813e-02
   7200  2.16375e+00  1.312e+00  8.522e-01  0.000e+00 -6.338e-01  1.945e+00  3.877e-01  2.391e-01  2.072e-01  1.820e-02
   7225  2.41867e+00  1.307e+00  1.112e+00  0.000e+00 -6.336e-01  1.941e+00  5.283e-01  3.047e-01  2.550e-01  2.356e-02
   7250  2.31704e+00  1.310e+00  1.007e+00  0.000e+00 -6.348e-01  1.945e+00  4.867e-01  2.168e-01  2.807e-01  2.293e-02
   7275  2.42318e+00  1.318e+00  1.105e+00  0.000e+00 -6.343e-01  1.952e+00  6.312e-01  1.355e-01  3.151e-01  2.352e-02
   7300  2.24669e+00  1.315e+00  9.322e-01  0.000e+00 -6.348e-01  1.949e+00  4.710e-01  1.949e-01  2.485e-01  1.782e-02
   7325  2.35149e+00  1.315e+00  1.037e+00  0.000e+00 -6.349e-01  1.950e+00  5.356e-01  2.060e-01  2.752e-01  1.996e-02
   7350  2.28646e+00  1.316e+00  9.707e-01  0.000e+00 -6.341e-01  1.950e+00  2.530e-01  3.170e-01  3.724e-01  2.830e-02
   7375  2.46538e+00  1.316e+00  1.150e+00  0.000e+00 -6.335e-01  1.949e+00  3.842e-01  4.012e-01  3.418e-01  2.262e-02
   7400  2.24127e+00  1.316e+00  9.255e-01  0.000e+00 -6.319e-01  1.948e+00  3.037e-01  3.309e-01  2.736e-01  1.733e-02
   7425  2.17039e+00  1.316e+00  8.549e-01  0.000e+00 -6.314e-01  1.947e+00  3.178e-01  2.365e-01  2.826e-01  1.794e-02
   7450  2.33175e+00  1.317e+00  1.015e+00  0.000e+00 -6.309e-01  1.948e+00  4.302e-01  2.306e-01  3.289e-01  2.502e-02
   7475  2.36527e+00  1.317e+00  1.048e+00  0.000e+00 -6.308e-01  1.948e+00  3.532e-01  2.938e-01  3.725e-01  2.891e-02
   7500  2.38623e+00  1.312e+00  1.074e+00  0.000e+00 -6.314e-01  1.944e+00  3.708e-01  3.986e-01  2.843e-01  2.037e-02
   7525  2.35642e+00  1.312e+00  1.044e+00  0.000e+00 -6.298e-01  1.942e+00  2.915e-01  4.291e-01  3.033e-01  2.045e-02
   7550  2.14164e+00  1.310e+00  8.311e-01  0.000e+00 -6.307e-01  1.941e+00  3.068e-01  2.973e-01  2.144e-01  1.261e-02
   7575  2.22853e+00  1.315e+00  9.132e-01  0.000e+00 -6.299e-01  1.945e+00  3.792e-01  3.252e-01  1.992e-01  9.705e-03
   7600  2.28941e+00  1.316e+00  9.737e-01  0.000e+00 -6.286e-01  1.944e+00  3.898e-01  3.373e-01  2.341e-01  1.253e-02
   7625  2.13011e+00  1.315e+00  8.153e-01  0.000e+00 -6.288e-01  1.944e+00  2.941e-01  3.252e-01  1.866e-01  9.493e-03
   7650  2.32934e+00  1.316e+00  1.014e+00  0.000e+00 -6.294e-01  1.945e+00  2.755e-01  4.954e-01  2.279e-01  1.515e-02
   7675  2.34850e+00  1.317e+00  1.031e+00  0.000e+00 -6.279e-01  1.945e+00  3.142e-01  4.850e-01  2.168e-01  1.514e-02
   7700  2.25836e+00  1.319e+00  9.392e-01  0.000e+00 -6.284e-01  1.948e+00  3.861e-01  3.657e-01  1.747e-01  1.267e-02
   7725  2.23600e+00  1.318e+00  9.179e-01  0.000e+00 -6.294e-01  1.947e+00  2.943e-01  4.149e-01  1.931e-01  1.566e-02
   7750  2.26934e+00  1.317e+00  9.526e-01  0.000e+00 -6.294e-01  1.946e+00  3.619e-01  3.561e-01  2.191e-01  1.558e-02
   7775  2.10717e+00  1.316e+00  7.908e-01  0.000e+00 -6.290e-01  1.945e+00  2.869e-01  2.923e-01  1.982e-01  1.344e-02
   7800  2.03351e+00  1.316e+00  7.175e-01  0.000e+00 -6.291e-01  1.945e+00  2.469e-01  2.662e-01  1.904e-01  1.394e-02
   7825  2.09871e+00  1.317e+00  7.815e-01  0.000e+00 -6.291e-01  1.946e+00  2.290e-01  3.005e-01  2.329e-01  1.912e-02
   7850  2.05820e+00  1.315e+00  7.430e-01  0.000e+00 -6.293e-01  1.945e+00  3.752e-01  1.991e-01  1.571e-01  1.148e-02
   7875  2.03141e+00  1.315e+00  7.166e-01  0.000e+00 -6.297e-01  1.945e+00  3.446e-01  2.175e-01  1.437e-01  1.075e-02
   7900  2.13932e+00  1.314e+00  8.252e-01  0.000e+00 -6.289e-01  1.943e+00  3.733e-01  2.703e-01  1.687e-01  1.299e-02
   7925  2.19750e+00  1.312e+00  8.853e-01  0.000e+00 -6.291e-01  1.941e+00  4.154e-01  2.724e-01  1.845e-01  1.306e-02
   7950  2.29987e+00  1.316e+00  9.841e-01  0.000e+00 -6.289e-01  1.945e+00  5.692e-01  1.565e-01  2.384e-01  1.994e-02
   7975  2.25478e+00  1.314e+00  9.405e-01  0.000e+00 -6.282e-01  1.942e+00  5.358e-01  2.177e-01  1.733e-01  1.375e-02
   8000  2.15357e+00  1.315e+00  8.387e-01  0.000e+00 -6.284e-01  1.943e+00  4.887e-01  2.659e-01  7.889e-02  5.207e-03
   8025  2.14889e+00  1.316e+00  8.327e-01  0.000e+00 -6.287e-01  1.945e+00  3.565e-01  2.946e-01  1.674e-01  1.418e-02
   8050  1.90974e+00  1.313e+00  5.972e-01  0.000e+00 -6.294e-01  1.942e+00  1.869e-01  2.702e-01  1.294e-01  1.064e-02
   8075  2.04152e+00  1.313e+00  7.282e-01  0.000e+00 -6.293e-01  1.943e+00  2.112e-01  3.138e-01  1.855e-01  1.772e-02
   8100  2.37515e+00  1.314e+00  1.061e+00  0.000e+00 -6.296e-01  1.943e+00  5.615e-01  3.366e-01  1.482e-01  1.506e-02
   8125  2.47229e+00  1.315e+00  1.158e+00  0.000e+00 -6.300e-01  1.945e+00  6.841e-01  3.395e-01  1.218e-01  1.235e-02
   8150  2.13032e+00  1.314e+00  8.158e-01  0.000e+00 -6.313e-01  1.946e+00  4.237e-01  2.930e-01  9.051e-02  8.582e-03
   8175  2.10120e+00  1.321e+00  7.805e-01  0.000e+00 -6.312e-01  1.952e+00  3.569e-01  3.211e-01  9.363e-02  8.926e-03
   8200  2.21927e+00  1.319e+00  8.998e-01  0.000e+00 -6.315e-01  1.951e+00  3.293e-01  3.779e-01  1.762e-01  1.644e-02
   8225  2.18124e+00  1.315e+00  8.666e-01  0.000e+00 -6.319e-01  1.946e+00  4.074e-01  2.117e-01  2.258e-01  2.168e-02
   8250  2.12540e+00  1.320e+00  8.050e-01  0.000e+00 -6.315e-01  1.952e+00  3.739e-01  2.440e-01  1.718e-01  1.520e-02
   8275  2.25557e+00  1.322e+00  9.337e-01  0.000e+00 -6.316e-01  1.954e+00  5.051e-01  2.601e-01  1.549e-01  1.365e-02
   8300  2.27443e+00  1.318e+00  9.564e-01  0.000e+00 -6.328e-01  1.951e+00  4.307e-01  2.805e-01  2.236e-01  2.161e-02
   8325  2.20615e+00  1.316e+00  8.898e-01  0.000e+00 -6.347e-01  1.951e+00  3.771e-01  2.727e-01  2.199e-01  2.021e-02
   8350  2.12075e+00  1.316e+00  8.044e-01  0.000e+00 -6.356e-01  1.952e+00  3.124e-01  2.993e-01  1.772e-01  1.545e-02
