# energy [kcal/mol] of co
#  conf       e_pot  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
     42  2.82139e-02  0.000e+00  2.821e-02  0.000e+00  0.000e+00  0.000e+00  2.821e-02  0.000e+00  0.000e+00  0.000e+00
     43  6.43744e-02  0.000e+00  6.437e-02  0.000e+00  0.000e+00  0.000e+00  6.437e-02  0.000e+00  0.000e+00  0.000e+00
     44  3.39396e-01  0.000e+00  3.394e-01  0.000e+00  0.000e+00  0.000e+00  3.394e-01  0.000e+00  0.000e+00  0.000e+00
     45  1.04481e-01  0.000e+00  1.045e-01  0.000e+00  0.000e+00  0.000e+00  1.045e-01  0.000e+00  0.000e+00  0.000e+00
     46  4.29486e-01  0.000e+00  4.295e-01  0.000e+00  0.000e+00  0.000e+00  4.295e-01  0.000e+00  0.000e+00  0.000e+00
     47  6.31054e-02  0.000e+00  6.311e-02  0.000e+00  0.000e+00  0.000e+00  6.311e-02  0.000e+00  0.000e+00  0.000e+00
     48  6.64377e-03  0.000e+00  6.644e-03  0.000e+00  0.000e+00  0.000e+00  6.644e-03  0.000e+00  0.000e+00  0.000e+00
     49  1.91848e-01  0.000e+00  1.918e-01  0.000e+00  0.000e+00  0.000e+00  1.918e-01  0.000e+00  0.000e+00  0.000e+00
     50  4.99122e-01  0.000e+00  4.991e-01  0.000e+00  0.000e+00  0.000e+00  4.991e-01  0.000e+00  0.000e+00  0.000e+00
     51  4.07422e-01  0.000e+00  4.074e-01  0.000e+00  0.000e+00  0.000e+00  4.074e-01  0.000e+00  0.000e+00  0.000e+00
     52  4.98539e-01  0.000e+00  4.985e-01  0.000e+00  0.000e+00  0.000e+00  4.985e-01  0.000e+00  0.000e+00  0.000e+00
     53  4.30021e-01  0.000e+00  4.300e-01  0.000e+00  0.000e+00  0.000e+00  4.300e-01  0.000e+00  0.000e+00  0.000e+00
     54  6.97325e-01  0.000e+00  6.973e-01  0.000e+00  0.000e+00  0.000e+00  6.973e-01  0.000e+00  0.000e+00  0.000e+00
     55  2.00232e-03  0.000e+00  2.002e-03  0.000e+00  0.000e+00  0.000e+00  2.002e-03  0.000e+00  0.000e+00  0.000e+00
     56  6.11315e-03  0.000e+00  6.113e-03  0.000e+00  0.000e+00  0.000e+00  6.113e-03  0.000e+00  0.000e+00  0.000e+00
     57  1.36041e+00  0.000e+00  1.360e+00  0.000e+00  0.000e+00  0.000e+00  1.360e+00  0.000e+00  0.000e+00  0.000e+00
     58  1.53172e-06  0.000e+00  1.532e-06  0.000e+00  0.000e+00  0.000e+00  1.532e-06  0.000e+00  0.000e+00  0.000e+00
     59  1.00589e+00  0.000e+00  1.006e+00  0.000e+00  0.000e+00  0.000e+00  1.006e+00  0.000e+00  0.000e+00  0.000e+00
     60  1.05185e-03  0.000e+00  1.052e-03  0.000e+00  0.000e+00  0.000e+00  1.052e-03  0.000e+00  0.000e+00  0.000e+00
     61  1.59763e-01  0.000e+00  1.598e-01  0.000e+00  0.000e+00  0.000e+00  1.598e-01  0.000e+00  0.000e+00  0.000e+00
     62  3.16513e-01  0.000e+00  3.165e-01  0.000e+00  0.000e+00  0.000e+00  3.165e-01  0.000e+00  0.000e+00  0.000e+00
     63  5.67172e-01  0.000e+00  5.672e-01  0.000e+00  0.000e+00  0.000e+00  5.672e-01  0.000e+00  0.000e+00  0.000e+00
     64  2.25004e-01  0.000e+00  2.250e-01  0.000e+00  0.000e+00  0.000e+00  2.250e-01  0.000e+00  0.000e+00  0.000e+00
     65  2.15147e-03  0.000e+00  2.151e-03  0.000e+00  0.000e+00  0.000e+00  2.151e-03  0.000e+00  0.000e+00  0.000e+00
     66  1.23792e-03  0.000e+00  1.238e-03  0.000e+00  0.000e+00  0.000e+00  1.238e-03  0.000e+00  0.000e+00  0.000e+00
     67  2.83685e-01  0.000e+00  2.837e-01  0.000e+00  0.000e+00  0.000e+00  2.837e-01  0.000e+00  0.000e+00  0.000e+00
     68  6.57242e-01  0.000e+00  6.572e-01  0.000e+00  0.000e+00  0.000e+00  6.572e-01  0.000e+00  0.000e+00  0.000e+00
     69  3.37231e-02  0.000e+00  3.372e-02  0.000e+00  0.000e+00  0.000e+00  3.372e-02  0.000e+00  0.000e+00  0.000e+00
     70  2.52979e-03  0.000e+00  2.530e-03  0.000e+00  0.000e+00  0.000e+00  2.530e-03  0.000e+00  0.000e+00  0.000e+00
     71  5.89978e-01  0.000e+00  5.900e-01  0.000e+00  0.000e+00  0.000e+00  5.900e-01  0.000e+00  0.000e+00  0.000e+00
     72  3.05312e-02  0.000e+00  3.053e-02  0.000e+00  0.000e+00  0.000e+00  3.053e-02  0.000e+00  0.000e+00  0.000e+00
     73  1.76585e-01  0.000e+00  1.766e-01  0.000e+00  0.000e+00  0.000e+00  1.766e-01  0.000e+00  0.000e+00  0.000e+00
     74  7.46308e-01  0.000e+00  7.463e-01  0.000e+00  0.000e+00  0.000e+00  7.463e-01  0.000e+00  0.000e+00  0.000e+00
     75  7.73934e-02  0.000e+00  7.739e-02  0.000e+00  0.000e+00  0.000e+00  7.739e-02  0.000e+00  0.000e+00  0.000e+00
     76  7.22362e-02  0.000e+00  7.224e-02  0.000e+00  0.000e+00  0.000e+00  7.224e-02  0.000e+00  0.000e+00  0.000e+00
     77  3.36566e-01  0.000e+00  3.366e-01  0.000e+00  0.000e+00  0.000e+00  3.366e-01  0.000e+00  0.000e+00  0.000e+00
     78  5.47815e-02  0.000e+00  5.478e-02  0.000e+00  0.000e+00  0.000e+00  5.478e-02  0.000e+00  0.000e+00  0.000e+00
     79  3.94482e-03  0.000e+00  3.945e-03  0.000e+00  0.000e+00  0.000e+00  3.945e-03  0.000e+00  0.000e+00  0.000e+00
     80  1.51833e+00  0.000e+00  1.518e+00  0.000e+00  0.000e+00  0.000e+00  1.518e+00  0.000e+00  0.000e+00  0.000e+00
     81  1.06823e+00  0.000e+00  1.068e+00  0.000e+00  0.000e+00  0.000e+00  1.068e+00  0.000e+00  0.000e+00  0.000e+00
     82  2.20534e-02  0.000e+00  2.205e-02  0.000e+00  0.000e+00  0.000e+00  2.205e-02  0.000e+00  0.000e+00  0.000e+00
     83  4.91088e-01  0.000e+00  4.911e-01  0.000e+00  0.000e+00  0.000e+00  4.911e-01  0.000e+00  0.000e+00  0.000e+00
     84  4.41534e-02  0.000e+00  4.415e-02  0.000e+00  0.000e+00  0.000e+00  4.415e-02  0.000e+00  0.000e+00  0.000e+00
     85  1.56243e-02  0.000e+00  1.562e-02  0.000e+00  0.000e+00  0.000e+00  1.562e-02  0.000e+00  0.000e+00  0.000e+00
     86  1.22520e-01  0.000e+00  1.225e-01  0.000e+00  0.000e+00  0.000e+00  1.225e-01  0.000e+00  0.000e+00  0.000e+00
     87  1.87500e-04  0.000e+00  1.875e-04  0.000e+00  0.000e+00  0.000e+00  1.875e-04  0.000e+00  0.000e+00  0.000e+00
     88  1.04582e-01  0.000e+00  1.046e-01  0.000e+00  0.000e+00  0.000e+00  1.046e-01  0.000e+00  0.000e+00  0.000e+00
     89  2.79103e-04  0.000e+00  2.791e-04  0.000e+00  0.000e+00  0.000e+00  2.791e-04  0.000e+00  0.000e+00  0.000e+00
     90  2.04599e-02  0.000e+00  2.046e-02  0.000e+00  0.000e+00  0.000e+00  2.046e-02  0.000e+00  0.000e+00  0.000e+00
     91  6.10749e-01  0.000e+00  6.107e-01  0.000e+00  0.000e+00  0.000e+00  6.107e-01  0.000e+00  0.000e+00  0.000e+00
     92  1.46830e-01  0.000e+00  1.468e-01  0.000e+00  0.000e+00  0.000e+00  1.468e-01  0.000e+00  0.000e+00  0.000e+00
     93  7.99677e-04  0.000e+00  7.997e-04  0.000e+00  0.000e+00  0.000e+00  7.997e-04  0.000e+00  0.000e+00  0.000e+00
     94  1.19585e-02  0.000e+00  1.196e-02  0.000e+00  0.000e+00  0.000e+00  1.196e-02  0.000e+00  0.000e+00  0.000e+00
     95  2.96924e-02  0.000e+00  2.969e-02  0.000e+00  0.000e+00  0.000e+00  2.969e-02  0.000e+00  0.000e+00  0.000e+00
     96  2.68578e-01  0.000e+00  2.686e-01  0.000e+00  0.000e+00  0.000e+00  2.686e-01  0.000e+00  0.000e+00  0.000e+00
     97  5.74333e-02  0.000e+00  5.743e-02  0.000e+00  0.000e+00  0.000e+00  5.743e-02  0.000e+00  0.000e+00  0.000e+00
     98  1.49316e+00  0.000e+00  1.493e+00  0.000e+00  0.000e+00  0.000e+00  1.493e+00  0.000e+00  0.000e+00  0.000e+00
     99  1.18530e-01  0.000e+00  1.185e-01  0.000e+00  0.000e+00  0.000e+00  1.185e-01  0.000e+00  0.000e+00  0.000e+00
    100  1.14095e-01  0.000e+00  1.141e-01  0.000e+00  0.000e+00  0.000e+00  1.141e-01  0.000e+00  0.000e+00  0.000e+00
    101  1.19140e-02  0.000e+00  1.191e-02  0.000e+00  0.000e+00  0.000e+00  1.191e-02  0.000e+00  0.000e+00  0.000e+00
    102  3.56195e-02  0.000e+00  3.562e-02  0.000e+00  0.000e+00  0.000e+00  3.562e-02  0.000e+00  0.000e+00  0.000e+00
    103  4.44010e-02  0.000e+00  4.440e-02  0.000e+00  0.000e+00  0.000e+00  4.440e-02  0.000e+00  0.000e+00  0.000e+00
    104  5.16254e-02  0.000e+00  5.163e-02  0.000e+00  0.000e+00  0.000e+00  5.163e-02  0.000e+00  0.000e+00  0.000e+00
    105  5.72329e-02  0.000e+00  5.723e-02  0.000e+00  0.000e+00  0.000e+00  5.723e-02  0.000e+00  0.000e+00  0.000e+00
    106  9.74569e-02  0.000e+00  9.746e-02  0.000e+00  0.000e+00  0.000e+00  9.746e-02  0.000e+00  0.000e+00  0.000e+00
    107  3.68043e-01  0.000e+00  3.680e-01  0.000e+00  0.000e+00  0.000e+00  3.680e-01  0.000e+00  0.000e+00  0.000e+00
    108  8.59371e-02  0.000e+00  8.594e-02  0.000e+00  0.000e+00  0.000e+00  8.594e-02  0.000e+00  0.000e+00  0.000e+00
    109  7.09531e-02  0.000e+00  7.095e-02  0.000e+00  0.000e+00  0.000e+00  7.095e-02  0.000e+00  0.000e+00  0.000e+00
    110  3.59566e-02  0.000e+00  3.596e-02  0.000e+00  0.000e+00  0.000e+00  3.596e-02  0.000e+00  0.000e+00  0.000e+00
    111  1.02127e-02  0.000e+00  1.021e-02  0.000e+00  0.000e+00  0.000e+00  1.021e-02  0.000e+00  0.000e+00  0.000e+00
    112  6.49039e-04  0.000e+00  6.490e-04  0.000e+00  0.000e+00  0.000e+00  6.490e-04  0.000e+00  0.000e+00  0.000e+00
    113  1.39768e-01  0.000e+00  1.398e-01  0.000e+00  0.000e+00  0.000e+00  1.398e-01  0.000e+00  0.000e+00  0.000e+00
    114  1.08437e+00  0.000e+00  1.084e+00  0.000e+00  0.000e+00  0.000e+00  1.084e+00  0.000e+00  0.000e+00  0.000e+00
    115  1.87841e-02  0.000e+00  1.878e-02  0.000e+00  0.000e+00  0.000e+00  1.878e-02  0.000e+00  0.000e+00  0.000e+00
