# energy [kcal/mol] of hf
#  conf       e_pot  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
     42  2.90366e-04  0.000e+00  2.904e-04  0.000e+00  0.000e+00  0.000e+00  2.904e-04  0.000e+00  0.000e+00  0.000e+00
     43  9.56399e-03  0.000e+00  9.564e-03  0.000e+00  0.000e+00  0.000e+00  9.564e-03  0.000e+00  0.000e+00  0.000e+00
     44  1.79176e-03  0.000e+00  1.792e-03  0.000e+00  0.000e+00  0.000e+00  1.792e-03  0.000e+00  0.000e+00  0.000e+00
     45  6.26473e-03  0.000e+00  6.265e-03  0.000e+00  0.000e+00  0.000e+00  6.265e-03  0.000e+00  0.000e+00  0.000e+00
     46  2.00884e-03  0.000e+00  2.009e-03  0.000e+00  0.000e+00  0.000e+00  2.009e-03  0.000e+00  0.000e+00  0.000e+00
     47  5.14983e-06  0.000e+00  5.150e-06  0.000e+00  0.000e+00  0.000e+00  5.150e-06  0.000e+00  0.000e+00  0.000e+00
     48  2.86540e-05  0.000e+00  2.865e-05  0.000e+00  0.000e+00  0.000e+00  2.865e-05  0.000e+00  0.000e+00  0.000e+00
     49  7.18118e-04  0.000e+00  7.181e-04  0.000e+00  0.000e+00  0.000e+00  7.181e-04  0.000e+00  0.000e+00  0.000e+00
     50  2.88929e-03  0.000e+00  2.889e-03  0.000e+00  0.000e+00  0.000e+00  2.889e-03  0.000e+00  0.000e+00  0.000e+00
     51  3.42006e-03  0.000e+00  3.420e-03  0.000e+00  0.000e+00  0.000e+00  3.420e-03  0.000e+00  0.000e+00  0.000e+00
     52  2.93880e-03  0.000e+00  2.939e-03  0.000e+00  0.000e+00  0.000e+00  2.939e-03  0.000e+00  0.000e+00  0.000e+00
     53  5.15676e-03  0.000e+00  5.157e-03  0.000e+00  0.000e+00  0.000e+00  5.157e-03  0.000e+00  0.000e+00  0.000e+00
     54  1.46391e-02  0.000e+00  1.464e-02  0.000e+00  0.000e+00  0.000e+00  1.464e-02  0.000e+00  0.000e+00  0.000e+00
     55  4.27412e-04  0.000e+00  4.274e-04  0.000e+00  0.000e+00  0.000e+00  4.274e-04  0.000e+00  0.000e+00  0.000e+00
     56  3.43771e-04  0.000e+00  3.438e-04  0.000e+00  0.000e+00  0.000e+00  3.438e-04  0.000e+00  0.000e+00  0.000e+00
     57  4.19161e-03  0.000e+00  4.192e-03  0.000e+00  0.000e+00  0.000e+00  4.192e-03  0.000e+00  0.000e+00  0.000e+00
     58  3.99448e-03  0.000e+00  3.994e-03  0.000e+00  0.000e+00  0.000e+00  3.994e-03  0.000e+00  0.000e+00  0.000e+00
     59  1.72398e-03  0.000e+00  1.724e-03  0.000e+00  0.000e+00  0.000e+00  1.724e-03  0.000e+00  0.000e+00  0.000e+00
     60  3.54943e-03  0.000e+00  3.549e-03  0.000e+00  0.000e+00  0.000e+00  3.549e-03  0.000e+00  0.000e+00  0.000e+00
     61  2.36256e-03  0.000e+00  2.363e-03  0.000e+00  0.000e+00  0.000e+00  2.363e-03  0.000e+00  0.000e+00  0.000e+00
     62  6.49733e-03  0.000e+00  6.497e-03  0.000e+00  0.000e+00  0.000e+00  6.497e-03  0.000e+00  0.000e+00  0.000e+00
     63  1.94354e-02  0.000e+00  1.944e-02  0.000e+00  0.000e+00  0.000e+00  1.944e-02  0.000e+00  0.000e+00  0.000e+00
     64  7.01461e-03  0.000e+00  7.015e-03  0.000e+00  0.000e+00  0.000e+00  7.015e-03  0.000e+00  0.000e+00  0.000e+00
     65  1.15781e-02  0.000e+00  1.158e-02  0.000e+00  0.000e+00  0.000e+00  1.158e-02  0.000e+00  0.000e+00  0.000e+00
     66  4.95207e-03  0.000e+00  4.952e-03  0.000e+00  0.000e+00  0.000e+00  4.952e-03  0.000e+00  0.000e+00  0.000e+00
     67  2.92608e-03  0.000e+00  2.926e-03  0.000e+00  0.000e+00  0.000e+00  2.926e-03  0.000e+00  0.000e+00  0.000e+00
     68  6.52013e-03  0.000e+00  6.520e-03  0.000e+00  0.000e+00  0.000e+00  6.520e-03  0.000e+00  0.000e+00  0.000e+00
     69  6.81712e-03  0.000e+00  6.817e-03  0.000e+00  0.000e+00  0.000e+00  6.817e-03  0.000e+00  0.000e+00  0.000e+00
     70  1.36721e-02  0.000e+00  1.367e-02  0.000e+00  0.000e+00  0.000e+00  1.367e-02  0.000e+00  0.000e+00  0.000e+00
     71  2.64032e-02  0.000e+00  2.640e-02  0.000e+00  0.000e+00  0.000e+00  2.640e-02  0.000e+00  0.000e+00  0.000e+00
     72  3.45260e-04  0.000e+00  3.453e-04  0.000e+00  0.000e+00  0.000e+00  3.453e-04  0.000e+00  0.000e+00  0.000e+00
     73  8.49253e-03  0.000e+00  8.493e-03  0.000e+00  0.000e+00  0.000e+00  8.493e-03  0.000e+00  0.000e+00  0.000e+00
     74  9.80001e-04  0.000e+00  9.800e-04  0.000e+00  0.000e+00  0.000e+00  9.800e-04  0.000e+00  0.000e+00  0.000e+00
     75  1.13789e-05  0.000e+00  1.138e-05  0.000e+00  0.000e+00  0.000e+00  1.138e-05  0.000e+00  0.000e+00  0.000e+00
     76  5.35992e-04  0.000e+00  5.360e-04  0.000e+00  0.000e+00  0.000e+00  5.360e-04  0.000e+00  0.000e+00  0.000e+00
     77  3.27151e-03  0.000e+00  3.272e-03  0.000e+00  0.000e+00  0.000e+00  3.272e-03  0.000e+00  0.000e+00  0.000e+00
     78  2.57214e-03  0.000e+00  2.572e-03  0.000e+00  0.000e+00  0.000e+00  2.572e-03  0.000e+00  0.000e+00  0.000e+00
     79  2.83007e-03  0.000e+00  2.830e-03  0.000e+00  0.000e+00  0.000e+00  2.830e-03  0.000e+00  0.000e+00  0.000e+00
     80  1.68946e-03  0.000e+00  1.689e-03  0.000e+00  0.000e+00  0.000e+00  1.689e-03  0.000e+00  0.000e+00  0.000e+00
     81  1.72244e-03  0.000e+00  1.722e-03  0.000e+00  0.000e+00  0.000e+00  1.722e-03  0.000e+00  0.000e+00  0.000e+00
     82  1.44277e-03  0.000e+00  1.443e-03  0.000e+00  0.000e+00  0.000e+00  1.443e-03  0.000e+00  0.000e+00  0.000e+00
     83  6.80580e-03  0.000e+00  6.806e-03  0.000e+00  0.000e+00  0.000e+00  6.806e-03  0.000e+00  0.000e+00  0.000e+00
     84  1.04808e-03  0.000e+00  1.048e-03  0.000e+00  0.000e+00  0.000e+00  1.048e-03  0.000e+00  0.000e+00  0.000e+00
     85  2.48971e-03  0.000e+00  2.490e-03  0.000e+00  0.000e+00  0.000e+00  2.490e-03  0.000e+00  0.000e+00  0.000e+00
     86  1.14744e-03  0.000e+00  1.147e-03  0.000e+00  0.000e+00  0.000e+00  1.147e-03  0.000e+00  0.000e+00  0.000e+00
     87  2.29624e-04  0.000e+00  2.296e-04  0.000e+00  0.000e+00  0.000e+00  2.296e-04  0.000e+00  0.000e+00  0.000e+00
     88  2.53193e-02  0.000e+00  2.532e-02  0.000e+00  0.000e+00  0.000e+00  2.532e-02  0.000e+00  0.000e+00  0.000e+00
     89  2.43246e-02  0.000e+00  2.432e-02  0.000e+00  0.000e+00  0.000e+00  2.432e-02  0.000e+00  0.000e+00  0.000e+00
     90  1.37762e-02  0.000e+00  1.378e-02  0.000e+00  0.000e+00  0.000e+00  1.378e-02  0.000e+00  0.000e+00  0.000e+00
     91  1.50521e-02  0.000e+00  1.505e-02  0.000e+00  0.000e+00  0.000e+00  1.505e-02  0.000e+00  0.000e+00  0.000e+00
     92  6.64714e-04  0.000e+00  6.647e-04  0.000e+00  0.000e+00  0.000e+00  6.647e-04  0.000e+00  0.000e+00  0.000e+00
     93  2.78074e-04  0.000e+00  2.781e-04  0.000e+00  0.000e+00  0.000e+00  2.781e-04  0.000e+00  0.000e+00  0.000e+00
     94  2.65437e-04  0.000e+00  2.654e-04  0.000e+00  0.000e+00  0.000e+00  2.654e-04  0.000e+00  0.000e+00  0.000e+00
     95  3.36540e-03  0.000e+00  3.365e-03  0.000e+00  0.000e+00  0.000e+00  3.365e-03  0.000e+00  0.000e+00  0.000e+00
     96  5.06003e-04  0.000e+00  5.060e-04  0.000e+00  0.000e+00  0.000e+00  5.060e-04  0.000e+00  0.000e+00  0.000e+00
     97  9.32081e-04  0.000e+00  9.321e-04  0.000e+00  0.000e+00  0.000e+00  9.321e-04  0.000e+00  0.000e+00  0.000e+00
     98  8.63052e-06  0.000e+00  8.631e-06  0.000e+00  0.000e+00  0.000e+00  8.631e-06  0.000e+00  0.000e+00  0.000e+00
     99  7.02073e-04  0.000e+00  7.021e-04  0.000e+00  0.000e+00  0.000e+00  7.021e-04  0.000e+00  0.000e+00  0.000e+00
    100  2.49878e-02  0.000e+00  2.499e-02  0.000e+00  0.000e+00  0.000e+00  2.499e-02  0.000e+00  0.000e+00  0.000e+00
    101  2.04043e-02  0.000e+00  2.040e-02  0.000e+00  0.000e+00  0.000e+00  2.040e-02  0.000e+00  0.000e+00  0.000e+00
    102  1.22205e-03  0.000e+00  1.222e-03  0.000e+00  0.000e+00  0.000e+00  1.222e-03  0.000e+00  0.000e+00  0.000e+00
    103  2.24922e-03  0.000e+00  2.249e-03  0.000e+00  0.000e+00  0.000e+00  2.249e-03  0.000e+00  0.000e+00  0.000e+00
    104  1.09299e-02  0.000e+00  1.093e-02  0.000e+00  0.000e+00  0.000e+00  1.093e-02  0.000e+00  0.000e+00  0.000e+00
    105  9.01714e-03  0.000e+00  9.017e-03  0.000e+00  0.000e+00  0.000e+00  9.017e-03  0.000e+00  0.000e+00  0.000e+00
    106  1.88329e-02  0.000e+00  1.883e-02  0.000e+00  0.000e+00  0.000e+00  1.883e-02  0.000e+00  0.000e+00  0.000e+00
    107  1.69236e-02  0.000e+00  1.692e-02  0.000e+00  0.000e+00  0.000e+00  1.692e-02  0.000e+00  0.000e+00  0.000e+00
    108  1.89661e-02  0.000e+00  1.897e-02  0.000e+00  0.000e+00  0.000e+00  1.897e-02  0.000e+00  0.000e+00  0.000e+00
