#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/h2o_5.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/xyzq/h2o_5.xyzq
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/h2o_5.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/h2o_5.xyz
# RANDOMSEED 515780453
# TEMPERATURE 298.150000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 1.000000 s
# ENERGYCONF 15
# GEOMCONF 50
# TOTALCONF 10000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0 -3.55963e+01 -4.357e+01  7.970e+00  0.000e+00  1.168e+01 -5.525e+01  3.999e+00  3.972e+00  0.000e+00  0.000e+00
     15 -3.43817e+01 -4.160e+01  7.215e+00  0.000e+00  1.036e+01 -5.196e+01  6.257e+00  9.589e-01  0.000e+00  0.000e+00
     30 -3.50439e+01 -3.992e+01  4.875e+00  0.000e+00  1.187e+01 -5.179e+01  3.716e+00  1.159e+00  0.000e+00  0.000e+00
     45 -3.51501e+01 -4.034e+01  5.185e+00  0.000e+00  1.165e+01 -5.198e+01  3.068e+00  2.117e+00  0.000e+00  0.000e+00
     60 -3.31484e+01 -3.800e+01  4.851e+00  0.000e+00  1.163e+01 -4.963e+01  2.935e+00  1.915e+00  0.000e+00  0.000e+00
     75 -3.53674e+01 -3.984e+01  4.474e+00  0.000e+00  1.107e+01 -5.091e+01  3.158e+00  1.316e+00  0.000e+00  0.000e+00
     90 -3.45334e+01 -3.906e+01  4.527e+00  0.000e+00  1.134e+01 -5.040e+01  3.396e+00  1.131e+00  0.000e+00  0.000e+00
    105 -3.23106e+01 -3.739e+01  5.079e+00  0.000e+00  1.186e+01 -4.925e+01  3.086e+00  1.992e+00  0.000e+00  0.000e+00
    120 -3.27277e+01 -3.911e+01  6.386e+00  0.000e+00  1.017e+01 -4.928e+01  3.515e+00  2.871e+00  0.000e+00  0.000e+00
    135 -3.16394e+01 -3.990e+01  8.263e+00  0.000e+00  1.095e+01 -5.085e+01  4.784e+00  3.479e+00  0.000e+00  0.000e+00
    150 -3.25109e+01 -3.933e+01  6.819e+00  0.000e+00  1.025e+01 -4.958e+01  5.343e+00  1.476e+00  0.000e+00  0.000e+00
    165 -3.32885e+01 -3.836e+01  5.076e+00  0.000e+00  1.011e+01 -4.847e+01  4.144e+00  9.326e-01  0.000e+00  0.000e+00
    180 -3.17851e+01 -3.611e+01  4.321e+00  0.000e+00  9.638e+00 -4.574e+01  2.523e+00  1.798e+00  0.000e+00  0.000e+00
    195 -3.29202e+01 -3.861e+01  5.694e+00  0.000e+00  9.762e+00 -4.838e+01  4.875e+00  8.186e-01  0.000e+00  0.000e+00
    210 -3.16774e+01 -3.916e+01  7.484e+00  0.000e+00  1.007e+01 -4.924e+01  6.239e+00  1.245e+00  0.000e+00  0.000e+00
    225 -3.31302e+01 -3.971e+01  6.581e+00  0.000e+00  9.340e+00 -4.905e+01  5.624e+00  9.564e-01  0.000e+00  0.000e+00
    240 -3.36931e+01 -3.901e+01  5.319e+00  0.000e+00  9.028e+00 -4.804e+01  4.606e+00  7.134e-01  0.000e+00  0.000e+00
    255 -3.32406e+01 -3.914e+01  5.897e+00  0.000e+00  1.047e+01 -4.960e+01  3.951e+00  1.946e+00  0.000e+00  0.000e+00
    270 -3.21173e+01 -3.728e+01  5.162e+00  0.000e+00  1.144e+01 -4.872e+01  2.002e+00  3.160e+00  0.000e+00  0.000e+00
    285 -3.43263e+01 -3.850e+01  4.173e+00  0.000e+00  1.088e+01 -4.938e+01  2.363e+00  1.810e+00  0.000e+00  0.000e+00
    300 -3.27573e+01 -4.090e+01  8.139e+00  0.000e+00  1.025e+01 -5.114e+01  6.265e+00  1.874e+00  0.000e+00  0.000e+00
    315 -3.27027e+01 -3.667e+01  3.970e+00  0.000e+00  9.054e+00 -4.573e+01  3.107e+00  8.635e-01  0.000e+00  0.000e+00
    330 -3.33459e+01 -3.870e+01  5.354e+00  0.000e+00  9.533e+00 -4.823e+01  4.153e+00  1.201e+00  0.000e+00  0.000e+00
    345 -3.10226e+01 -3.862e+01  7.593e+00  0.000e+00  9.116e+00 -4.773e+01  6.611e+00  9.820e-01  0.000e+00  0.000e+00
    360 -3.31133e+01 -3.827e+01  5.156e+00  0.000e+00  9.759e+00 -4.803e+01  3.990e+00  1.166e+00  0.000e+00  0.000e+00
    375 -3.32112e+01 -3.787e+01  4.660e+00  0.000e+00  1.023e+01 -4.810e+01  3.222e+00  1.438e+00  0.000e+00  0.000e+00
    390 -3.30462e+01 -3.888e+01  5.831e+00  0.000e+00  1.170e+01 -5.058e+01  4.593e+00  1.238e+00  0.000e+00  0.000e+00
    405 -3.18115e+01 -3.869e+01  6.875e+00  0.000e+00  1.214e+01 -5.082e+01  5.971e+00  9.039e-01  0.000e+00  0.000e+00
    420 -2.95367e+01 -3.545e+01  5.911e+00  0.000e+00  1.228e+01 -4.773e+01  5.470e+00  4.414e-01  0.000e+00  0.000e+00
    435 -2.68097e+01 -3.967e+01  1.286e+01  0.000e+00  1.183e+01 -5.150e+01  1.193e+01  9.280e-01  0.000e+00  0.000e+00
