# energy [kcal/mol] of ch2o
#  conf       e_pot  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
  20500  1.93726e+00  0.000e+00  1.937e+00  0.000e+00  0.000e+00  0.000e+00  1.143e+00  6.828e-01  0.000e+00  1.118e-01
  21000  2.55512e+00  0.000e+00  2.555e+00  0.000e+00  0.000e+00  0.000e+00  1.557e+00  5.547e-01  0.000e+00  4.433e-01
  21500  1.60522e+00  0.000e+00  1.605e+00  0.000e+00  0.000e+00  0.000e+00  9.398e-01  3.641e-01  0.000e+00  3.013e-01
  22000  5.14742e+00  0.000e+00  5.147e+00  0.000e+00  0.000e+00  0.000e+00  8.877e-01  4.196e+00  0.000e+00  6.372e-02
  22500  1.43257e+00  0.000e+00  1.433e+00  0.000e+00  0.000e+00  0.000e+00  2.414e-01  6.433e-01  0.000e+00  5.479e-01
  23000  1.73722e+00  0.000e+00  1.737e+00  0.000e+00  0.000e+00  0.000e+00  1.257e+00  4.797e-01  0.000e+00  2.029e-04
  23500  1.64049e+00  0.000e+00  1.640e+00  0.000e+00  0.000e+00  0.000e+00  1.461e+00  1.199e-01  0.000e+00  5.993e-02
  24000  1.03331e+00  0.000e+00  1.033e+00  0.000e+00  0.000e+00  0.000e+00  1.914e-01  3.076e-01  0.000e+00  5.344e-01
  24500  7.44328e-01  0.000e+00  7.443e-01  0.000e+00  0.000e+00  0.000e+00  7.395e-02  4.232e-01  0.000e+00  2.472e-01
  25000  1.11163e+00  0.000e+00  1.112e+00  0.000e+00  0.000e+00  0.000e+00  8.562e-01  2.415e-01  0.000e+00  1.393e-02
  25500  7.72449e-01  0.000e+00  7.724e-01  0.000e+00  0.000e+00  0.000e+00  2.658e-01  5.064e-01  0.000e+00  2.943e-04
  26000  3.40942e+00  0.000e+00  3.409e+00  0.000e+00  0.000e+00  0.000e+00  3.073e+00  3.081e-01  0.000e+00  2.865e-02
  26500  1.11872e+00  0.000e+00  1.119e+00  0.000e+00  0.000e+00  0.000e+00  8.233e-01  2.095e-01  0.000e+00  8.586e-02
  27000  8.58783e-01  0.000e+00  8.588e-01  0.000e+00  0.000e+00  0.000e+00  7.328e-02  1.176e-01  0.000e+00  6.679e-01
  27500  6.90350e-01  0.000e+00  6.904e-01  0.000e+00  0.000e+00  0.000e+00  4.669e-01  2.052e-01  0.000e+00  1.829e-02
  28000  1.34203e+00  0.000e+00  1.342e+00  0.000e+00  0.000e+00  0.000e+00  8.690e-01  3.587e-01  0.000e+00  1.143e-01
  28500  2.47128e+00  0.000e+00  2.471e+00  0.000e+00  0.000e+00  0.000e+00  1.261e+00  1.201e+00  0.000e+00  8.785e-03
  29000  1.32353e+00  0.000e+00  1.324e+00  0.000e+00  0.000e+00  0.000e+00  9.145e-01  2.356e-01  0.000e+00  1.735e-01
  29500  2.67391e+00  0.000e+00  2.674e+00  0.000e+00  0.000e+00  0.000e+00  1.071e+00  1.337e+00  0.000e+00  2.667e-01
  30000  2.81837e+00  0.000e+00  2.818e+00  0.000e+00  0.000e+00  0.000e+00  1.158e+00  5.318e-01  0.000e+00  1.129e+00
  30500  3.57466e-01  0.000e+00  3.575e-01  0.000e+00  0.000e+00  0.000e+00  1.317e-01  2.231e-01  0.000e+00  2.703e-03
  31000  1.36219e+00  0.000e+00  1.362e+00  0.000e+00  0.000e+00  0.000e+00  1.641e-01  9.309e-01  0.000e+00  2.673e-01
  31500  4.15984e-01  0.000e+00  4.160e-01  0.000e+00  0.000e+00  0.000e+00  2.704e-01  1.330e-01  0.000e+00  1.258e-02
  32000  1.56042e+00  0.000e+00  1.560e+00  0.000e+00  0.000e+00  0.000e+00  1.115e+00  4.457e-01  0.000e+00  4.277e-07
  32500  5.43013e-01  0.000e+00  5.430e-01  0.000e+00  0.000e+00  0.000e+00  4.637e-01  7.730e-02  0.000e+00  2.027e-03
  33000  1.36761e+00  0.000e+00  1.368e+00  0.000e+00  0.000e+00  0.000e+00  1.026e+00  3.294e-01  0.000e+00  1.269e-02
  33500  1.17458e+00  0.000e+00  1.175e+00  0.000e+00  0.000e+00  0.000e+00  4.191e-01  5.283e-01  0.000e+00  2.272e-01
  34000  1.30947e+00  0.000e+00  1.309e+00  0.000e+00  0.000e+00  0.000e+00  1.044e+00  9.608e-02  0.000e+00  1.693e-01
  34500  2.23120e+00  0.000e+00  2.231e+00  0.000e+00  0.000e+00  0.000e+00  8.829e-01  5.610e-01  0.000e+00  7.873e-01
  35000  1.32566e+00  0.000e+00  1.326e+00  0.000e+00  0.000e+00  0.000e+00  2.678e-01  5.218e-01  0.000e+00  5.361e-01
  35500  2.73046e+00  0.000e+00  2.730e+00  0.000e+00  0.000e+00  0.000e+00  1.062e+00  1.033e+00  0.000e+00  6.355e-01
  36000  1.51731e+00  0.000e+00  1.517e+00  0.000e+00  0.000e+00  0.000e+00  6.926e-01  1.360e-01  0.000e+00  6.887e-01
  36500  3.27195e+00  0.000e+00  3.272e+00  0.000e+00  0.000e+00  0.000e+00  1.711e+00  6.878e-01  0.000e+00  8.733e-01
  37000  6.26022e-01  0.000e+00  6.260e-01  0.000e+00  0.000e+00  0.000e+00  3.039e-01  3.056e-01  0.000e+00  1.654e-02
  37500  2.26295e+00  0.000e+00  2.263e+00  0.000e+00  0.000e+00  0.000e+00  1.616e+00  6.469e-01  0.000e+00  3.289e-04
  38000  2.53080e+00  0.000e+00  2.531e+00  0.000e+00  0.000e+00  0.000e+00  1.759e+00  7.274e-01  0.000e+00  4.453e-02
  38500  2.31870e+00  0.000e+00  2.319e+00  0.000e+00  0.000e+00  0.000e+00  2.162e+00  1.330e-01  0.000e+00  2.367e-02
  39000  2.90615e+00  0.000e+00  2.906e+00  0.000e+00  0.000e+00  0.000e+00  2.192e+00  5.763e-01  0.000e+00  1.381e-01
  39500  2.87884e+00  0.000e+00  2.879e+00  0.000e+00  0.000e+00  0.000e+00  2.463e+00  2.636e-01  0.000e+00  1.522e-01
  40000  1.51920e+00  0.000e+00  1.519e+00  0.000e+00  0.000e+00  0.000e+00  9.051e-01  6.094e-01  0.000e+00  4.702e-03
  40500  3.08011e+00  0.000e+00  3.080e+00  0.000e+00  0.000e+00  0.000e+00  1.167e+00  8.465e-01  0.000e+00  1.067e+00
  41000  2.40596e+00  0.000e+00  2.406e+00  0.000e+00  0.000e+00  0.000e+00  1.706e+00  1.109e-01  0.000e+00  5.891e-01
  41500  4.37451e-01  0.000e+00  4.375e-01  0.000e+00  0.000e+00  0.000e+00  2.886e-01  1.422e-01  0.000e+00  6.667e-03
  42000  1.30466e+00  0.000e+00  1.305e+00  0.000e+00  0.000e+00  0.000e+00  7.942e-01  4.874e-02  0.000e+00  4.617e-01
  42500  2.67165e+00  0.000e+00  2.672e+00  0.000e+00  0.000e+00  0.000e+00  1.389e+00  3.752e-01  0.000e+00  9.075e-01
  43000  3.19297e+00  0.000e+00  3.193e+00  0.000e+00  0.000e+00  0.000e+00  5.459e-01  2.634e+00  0.000e+00  1.326e-02
  43500  1.44708e+00  0.000e+00  1.447e+00  0.000e+00  0.000e+00  0.000e+00  2.899e-01  9.175e-01  0.000e+00  2.397e-01
  44000  2.12585e+00  0.000e+00  2.126e+00  0.000e+00  0.000e+00  0.000e+00  7.448e-01  9.741e-01  0.000e+00  4.069e-01
  44500  2.01387e+00  0.000e+00  2.014e+00  0.000e+00  0.000e+00  0.000e+00  1.108e+00  8.963e-01  0.000e+00  9.745e-03
  45000  2.54545e+00  0.000e+00  2.545e+00  0.000e+00  0.000e+00  0.000e+00  1.001e+00  9.876e-01  0.000e+00  5.571e-01
  45500  2.45525e+00  0.000e+00  2.455e+00  0.000e+00  0.000e+00  0.000e+00  9.836e-02  1.819e+00  0.000e+00  5.377e-01
  46000  1.71718e+00  0.000e+00  1.717e+00  0.000e+00  0.000e+00  0.000e+00  1.751e-01  1.514e+00  0.000e+00  2.785e-02
  46500  1.37881e+00  0.000e+00  1.379e+00  0.000e+00  0.000e+00  0.000e+00  1.063e+00  8.106e-02  0.000e+00  2.344e-01
  47000  1.72156e+00  0.000e+00  1.722e+00  0.000e+00  0.000e+00  0.000e+00  6.104e-01  3.257e-01  0.000e+00  7.854e-01
  47500  2.57214e+00  0.000e+00  2.572e+00  0.000e+00  0.000e+00  0.000e+00  1.576e+00  5.303e-01  0.000e+00  4.657e-01
  48000  2.24108e+00  0.000e+00  2.241e+00  0.000e+00  0.000e+00  0.000e+00  1.665e+00  3.622e-01  0.000e+00  2.139e-01
  48500  1.95340e+00  0.000e+00  1.953e+00  0.000e+00  0.000e+00  0.000e+00  5.577e-01  8.135e-02  0.000e+00  1.314e+00
  49000  2.93207e+00  0.000e+00  2.932e+00  0.000e+00  0.000e+00  0.000e+00  1.762e+00  6.447e-01  0.000e+00  5.255e-01
  49500  3.27078e+00  0.000e+00  3.271e+00  0.000e+00  0.000e+00  0.000e+00  2.311e-01  2.577e+00  0.000e+00  4.625e-01
  50000  3.28374e-01  0.000e+00  3.284e-01  0.000e+00  0.000e+00  0.000e+00  4.575e-02  4.760e-02  0.000e+00  2.350e-01
  50500  7.74478e-01  0.000e+00  7.745e-01  0.000e+00  0.000e+00  0.000e+00  4.521e-01  1.432e-01  0.000e+00  1.792e-01
  51000  2.49853e+00  0.000e+00  2.499e+00  0.000e+00  0.000e+00  0.000e+00  2.318e+00  1.814e-02  0.000e+00  1.625e-01
  51500  2.39728e+00  0.000e+00  2.397e+00  0.000e+00  0.000e+00  0.000e+00  1.253e+00  9.444e-01  0.000e+00  2.003e-01
  52000  1.10846e+00  0.000e+00  1.108e+00  0.000e+00  0.000e+00  0.000e+00  6.549e-01  4.372e-02  0.000e+00  4.098e-01
  52500  2.21853e+00  0.000e+00  2.219e+00  0.000e+00  0.000e+00  0.000e+00  1.028e+00  1.004e+00  0.000e+00  1.865e-01
  53000  2.37452e+00  0.000e+00  2.375e+00  0.000e+00  0.000e+00  0.000e+00  1.557e+00  1.648e-01  0.000e+00  6.525e-01
  53500  3.50517e+00  0.000e+00  3.505e+00  0.000e+00  0.000e+00  0.000e+00  2.084e+00  1.409e+00  0.000e+00  1.185e-02
  54000  2.27267e+00  0.000e+00  2.273e+00  0.000e+00  0.000e+00  0.000e+00  8.933e-01  1.858e-01  0.000e+00  1.194e+00
  54500  1.89007e+00  0.000e+00  1.890e+00  0.000e+00  0.000e+00  0.000e+00  8.105e-01  7.673e-01  0.000e+00  3.122e-01
  55000  8.08726e-01  0.000e+00  8.087e-01  0.000e+00  0.000e+00  0.000e+00  3.224e-01  1.793e-01  0.000e+00  3.071e-01
  55500  1.06963e+00  0.000e+00  1.070e+00  0.000e+00  0.000e+00  0.000e+00  8.136e-01  2.385e-01  0.000e+00  1.760e-02
  56000  2.09038e+00  0.000e+00  2.090e+00  0.000e+00  0.000e+00  0.000e+00  1.638e+00  1.178e-01  0.000e+00  3.345e-01
  56500  1.40527e+00  0.000e+00  1.405e+00  0.000e+00  0.000e+00  0.000e+00  3.888e-01  8.511e-01  0.000e+00  1.654e-01
  57000  2.28170e+00  0.000e+00  2.282e+00  0.000e+00  0.000e+00  0.000e+00  1.039e+00  5.023e-01  0.000e+00  7.409e-01
  57500  1.76012e+00  0.000e+00  1.760e+00  0.000e+00  0.000e+00  0.000e+00  8.692e-01  4.347e-01  0.000e+00  4.562e-01
  58000  1.39786e+00  0.000e+00  1.398e+00  0.000e+00  0.000e+00  0.000e+00  6.220e-01  5.332e-01  0.000e+00  2.427e-01
  58500  1.47895e+00  0.000e+00  1.479e+00  0.000e+00  0.000e+00  0.000e+00  9.841e-01  4.764e-02  0.000e+00  4.472e-01
  59000  2.02860e+00  0.000e+00  2.029e+00  0.000e+00  0.000e+00  0.000e+00  1.080e+00  9.342e-01  0.000e+00  1.465e-02
  59500  1.47331e+00  0.000e+00  1.473e+00  0.000e+00  0.000e+00  0.000e+00  1.248e+00  2.161e-01  0.000e+00  9.438e-03
  60000  1.17147e+00  0.000e+00  1.171e+00  0.000e+00  0.000e+00  0.000e+00  4.169e-01  4.665e-01  0.000e+00  2.880e-01
  60500  1.44570e+00  0.000e+00  1.446e+00  0.000e+00  0.000e+00  0.000e+00  4.814e-02  1.355e+00  0.000e+00  4.273e-02
  61000  1.87830e+00  0.000e+00  1.878e+00  0.000e+00  0.000e+00  0.000e+00  6.043e-01  8.354e-01  0.000e+00  4.386e-01
  61500  1.28869e+00  0.000e+00  1.289e+00  0.000e+00  0.000e+00  0.000e+00  6.650e-01  6.129e-01  0.000e+00  1.074e-02
  62000  8.70263e-01  0.000e+00  8.703e-01  0.000e+00  0.000e+00  0.000e+00  7.364e-01  4.553e-02  0.000e+00  8.833e-02
  62500  2.76447e+00  0.000e+00  2.764e+00  0.000e+00  0.000e+00  0.000e+00  1.855e+00  9.083e-01  0.000e+00  7.204e-04
