
 -------- Energy Values --------
   component         [kcal/mol]
 -------------------------------
   Total         |    12.9069
   Kinetic       |     0.0000
   Potential     |    12.9069
   Non-bonded    |     1.2845
   Bonded        |    11.6224
   Boundary      |     0.0000
   van der Waals |    -0.6197
   Electrostatic |     1.9042
   Bonds         |     9.8700
   Angles        |     1.7524
   Torsions      |     0.0000
   Out-of-planes |     0.0000

 -------- Molecular Geometry and Non-bonded Parameters ---------
      type     x         y         z       q      ro/2    eps
 ---------------------------------------------------------------
  25 |  63.00 120.000 118.186 (CA-CA-CA)  0.0632 (14-18-17)
  26 |  35.00 120.000 121.529 (CA-CA-HA)  0.0249 (14-18-19)
  27 |  35.00 120.000 118.671 (CA-CA-HA)  0.0188 (15-13-23)
  28 |  63.00 120.000 120.041 (CA-CA-CA)  0.0000 (15-16-17)
  29 |  35.00 120.000 120.807 (CA-CA-HA)  0.0069 (15-16-21)
  30 |  35.00 120.000 122.480 (CA-CA-HA)  0.0656 (16-15-24)
  31 |  63.00 120.000 121.667 (CA-CA-CA)  0.0533 (16-17-18)
  32 |  35.00 120.000 120.448 (CA-CA-HA)  0.0021 (16-17-22)
  33 |  35.00 120.000 119.152 (CA-CA-HA)  0.0077 (17-16-21)
  34 |  35.00 120.000 120.285 (CA-CA-HA)  0.0009 (17-18-19)
  35 |  35.00 120.000 122.113 (CA-CA-HA)  0.0476 (18-14-20)
  36 |  35.00 120.000 117.886 (CA-CA-HA)  0.0477 (18-17-22)

 ---------------------- Torsion Angle Data -----------------------
         vn/2  gamma   t_ijkl n p     types      energy   atoms
 -----------------------------------------------------------------
   1 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (1-2-3-4)
   2 |  14.50  180.0  180.000 2 4 (CA-CA-CA-HA)  0.0000 (1-2-3-10)
   3 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (2-1-6-5)
   4 |  14.50  180.0  180.000 2 4 (CA-CA-CA-HA)  0.0000 (2-1-6-7)
   5 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (2-3-4-5)
   6 |  14.50  180.0  180.000 2 4 (CA-CA-CA-HA)  0.0000 (2-3-4-11)
   7 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (3-4-5-6)
   8 |  14.50  180.0  180.000 2 4 (CA-CA-CA-HA)  0.0000 (3-4-5-12)
   9 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (4-5-6-1)
  10 |  14.50  180.0  180.000 2 4 (CA-CA-CA-HA)  0.0000 (4-5-6-7)
  11 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (6-1-2-3)
  12 |  14.50  180.0  180.000 2 4 (CA-CA-CA-HA)  0.0000 (6-1-2-9)
  13 |  14.50  180.0  180.000 2 4 (HA-CA-CA-CA)  0.0000 (8-1-2-3)
  14 |  14.50  180.0    0.000 2 4 (HA-CA-CA-HA)  0.0000 (8-1-2-9)
  15 |  14.50  180.0  180.000 2 4 (HA-CA-CA-CA)  0.0000 (8-1-6-5)
  16 |  14.50  180.0    0.000 2 4 (HA-CA-CA-HA)  0.0000 (8-1-6-7)
  17 |  14.50  180.0  180.000 2 4 (HA-CA-CA-CA)  0.0000 (9-2-3-4)
  18 |  14.50  180.0    0.000 2 4 (HA-CA-CA-HA)  0.0000 (9-2-3-10)
  19 |  14.50  180.0  180.000 2 4 (HA-CA-CA-CA)  0.0000 (10-3-4-5)
  20 |  14.50  180.0    0.000 2 4 (HA-CA-CA-HA)  0.0000 (10-3-4-11)
  21 |  14.50  180.0  180.000 2 4 (HA-CA-CA-CA)  0.0000 (11-4-5-6)
  22 |  14.50  180.0    0.000 2 4 (HA-CA-CA-HA)  0.0000 (11-4-5-12)
  23 |  14.50  180.0  180.000 2 4 (HA-CA-CA-CA)  0.0000 (12-5-6-1)
  24 |  14.50  180.0    0.000 2 4 (HA-CA-CA-HA)  0.0000 (12-5-6-7)
  25 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (13-14-18-17)
  26 |  14.50  180.0  180.000 2 4 (CA-CA-CA-HA)  0.0000 (13-14-18-19)
  27 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (13-15-16-17)
  28 |  14.50  180.0 -180.000 2 4 (CA-CA-CA-HA)  0.0000 (13-15-16-21)
  29 |  14.50  180.0   -0.000 2 4 (CA-CA-CA-CA)  0.0000 (14-13-15-16)
  30 |  14.50  180.0 -180.000 2 4 (CA-CA-CA-HA)  0.0000 (14-13-15-24)
  31 |  14.50  180.0   -0.000 2 4 (CA-CA-CA-CA)  0.0000 (15-13-14-18)
  32 |  14.50  180.0 -180.000 2 4 (CA-CA-CA-HA)  0.0000 (15-13-14-20)
  33 |  14.50  180.0    0.000 2 4 (CA-CA-CA-CA)  0.0000 (15-16-17-18)
  34 |  14.50  180.0  180.000 2 4 (CA-CA-CA-HA)  0.0000 (15-16-17-22)
  35 |  14.50  180.0   -0.000 2 4 (CA-CA-CA-CA)  0.0000 (16-17-18-14)
  36 |  14.50  180.0 -180.000 2 4 (CA-CA-CA-HA)  0.0000 (16-17-18-19)
  37 |  14.50  180.0 -180.000 2 4 (HA-CA-CA-CA)  0.0000 (20-14-18-17)
  38 |  14.50  180.0   -0.000 2 4 (HA-CA-CA-HA)  0.0000 (20-14-18-19)
  39 |  14.50  180.0 -180.000 2 4 (HA-CA-CA-CA)  0.0000 (21-16-17-18)
  40 |  14.50  180.0   -0.000 2 4 (HA-CA-CA-HA)  0.0000 (21-16-17-22)
